着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,タイムトリップ,牡5,57,柴山雄一,1:22.2,,19.7,7,506(+6),[東] 菊川正達
2,4,6,レッドアンシェル,牡5,57,浜中俊,1:22.2,アタマ,4.0,1,468(+22),[西] 庄野靖志
3,1,1,ジョイフル,牡5,57,Ｍ．デム,1:22.6,2.1/2,4.4,2,512(0),[西] 吉村圭司
4,7,11,レインボーフラッグ,牡6,57,和田竜二,1:22.7,1/2,11.3,5,462(-8),[西] 小崎憲
5,8,14,ボンセルヴィーソ,牡5,57,松山弘平,1:22.7,クビ,5.2,4,484(+16),[西] 池添学
6,6,10,テラノヴァ,牝6,55,池添謙一,1:22.8,1/2,48.4,11,490(+8),[西] 須貝尚介
7,8,13,ヤマカツグレース,牝5,55,国分恭介,1:22.9,3/4,21.8,8,454(+2),[西] 池添兼雄
8,3,3,アマルフィコースト,牝4,54,秋山真一,1:23.0,クビ,4.4,3,474(0),[西] 牧田和弥
9,5,8,タケショウベスト,牝5,55,菱田裕二,1:23.0,アタマ,31.3,9,472(-4),[東] 田中清隆
10,6,9,ハナズレジェンド,牡6,57,中谷雄太,1:23.1,1/2,52.6,12,470(+2),[西] 矢作芳人
11,7,12,サプルマインド,牝6,55,岩田康誠,1:23.2,3/4,14.3,6,458(+6),[西] 藤原英昭
12,4,5,スカイパッション,牝7,55,松若風馬,1:23.3,クビ,175.4,14,466(+4),[西] 作田誠二
13,2,2,タイセイスターリー,牡5,57,坂井瑠星,1:23.3,ハナ,40.8,10,536(+4),[西] 矢作芳人
14,5,7,ワキノヒビキ,牡7,57,小牧太,1:23.4,1/2,154.1,13,514(+20),[西] 清水久詞
