着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,ゼンノサーベイヤー,牡6,57,藤岡佑介,1:11.7,,5.1,4,522(+2),[西] 中内田充
2,2,4,ストロベリームーン,牝5,55,武豊,1:11.8,1/2,4.4,1,440(+2),[西] 庄野靖志
3,4,7,ジャスパープリンス,牡4,56,松山弘平,1:12.1,1.3/4,4.6,2,482(+4),[西] 森秀行
4,1,2,ロードエース,牡4,56,福永祐一,1:12.1,クビ,4.8,3,510(+2),[西] 松下武士
5,8,15,ベルクリア,牝6,55,和田竜二,1:12.2,クビ,47.5,10,462(-2),[西] 吉田直弘
6,5,9,ガンジー,牡8,57,小牧太,1:12.2,アタマ,47.0,9,528(+10),[西] 宮本博
7,4,8,タガノアム,牝4,54,岡田祥嗣,1:12.3,クビ,22.4,7,478(0),[西] 浅見秀一
8,2,3,サーティグランド,セ7,57,水口優也,1:12.3,クビ,22.9,8,502(-2),[西] 田所秀孝
9,3,6,プレシャスルージュ,セ7,57,浜中俊,1:12.3,クビ,5.8,5,466(-2),[西] 高柳大輔
10,6,12,メイショウオルソ,牡6,57,太宰啓介,1:12.3,ハナ,266.0,15,528(0),[西] 松永昌博
11,7,13,プレシャスエース,牡6,57,古川吉洋,1:12.3,ハナ,97.0,12,508(0),[東] 栗田博憲
12,7,14,ディープミタカ,牡8,57,坂井瑠星,1:12.6,1.3/4,307.6,16,482(+16),[西] 藤岡健一
13,5,10,カネトシビバーチェ,牝8,55,川島信二,1:12.7,1/2,18.3,6,480(+8),[西] 大橋勇樹
14,3,5,メイショウツレヅレ,牝10,55,川須栄彦,1:12.8,3/4,116.8,14,458(0),[西] 笹田和秀
15,6,11,スミレ,牝6,55,池添謙一,1:13.4,3.1/2,53.0,11,464(+4),[東] 加藤征弘
16,1,1,ニホンピロヘーゼル,牝6,55,高倉稜,1:13.9,3,114.5,13,508(0),[西] 安達昭夫
