着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,10,フィエールマン,牡4,58,ルメール,3:15.0,,2.8,1,480(0),[東] 手塚貴久
2,5,7,グローリーヴェイズ,牡4,58,戸崎圭太,3:15.0,クビ,11.3,6,456(+2),[東] 尾関知人
3,6,8,パフォーマプロミス,牡7,58,北村友一,3:16.0,6,30.6,8,452(-8),[西] 藤原英昭
4,2,2,エタリオウ,牡4,58,Ｍ．デム,3:16.0,クビ,3.3,2,472(+6),[西] 友道康夫
5,6,9,ユーキャンスマイル,牡4,58,岩田康誠,3:16.5,3,6.4,3,492(+8),[西] 友道康夫
6,1,1,チェスナットコート,牡5,58,坂井瑠星,3:16.8,1.1/2,54.2,10,464(-4),[西] 矢作芳人
7,5,6,カフジプリンス,牡6,58,中谷雄太,3:17.3,3,44.5,9,530(+2),[西] 矢作芳人
8,3,3,リッジマン,牡6,58,蛯名正義,3:17.4,3/4,60.0,11,454(+10),[西] 庄野靖志
9,7,11,ケントオー,牡7,58,幸英明,3:17.6,1.1/4,158.7,13,472(0),[西] 西橋豊治
10,8,12,クリンチャー,牡5,58,三浦皇成,3:17.7,3/4,9.2,4,496(+2),[西] 宮本博
11,4,5,メイショウテッコン,牡4,58,福永祐一,3:18.9,7,9.2,5,508(-2),[西] 高橋義忠
12,8,13,ロードヴァンドール,牡6,58,横山典弘,3:20.7,大,30.3,7,500(+2),[西] 昆貢
中,4,4,ヴォージュ,牡6,58,和田竜二,,,68.4,12,522(+4),[西] 西村真幸
