着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,アイラブテーラー,牝3,52,武豊,1:09.1,,3.8,1,438(+16),[西] 河内洋
2,7,15,エイティーンガール,牝3,52,池添謙一,1:09.1,クビ,11.7,6,450(+4),[西] 飯田祐史
3,4,7,ホープフルサイン,牡3,54,石橋脩,1:09.3,1,11.3,5,490(+8),[東] 本間忍
4,3,5,ダイシンバルカン,牡7,54,国分優作,1:09.3,クビ,20.6,8,510(+12),[西] 吉田直弘
5,5,10,ジュランビル,牝3,53,和田竜二,1:09.4,3/4,4.5,2,472(+6),[西] 寺島良
6,2,4,ニシオボヌール,セ7,54,藤井勘一,1:09.5,クビ,51.0,12,500(+6),[西] 高橋亮
7,7,13,スワーヴアーサー,牡6,54,ルメール,1:09.5,クビ,14.0,7,486(-12),[西] 庄野靖志
8,5,9,ワンアフター,牡6,55,田辺裕信,1:09.7,1,32.3,9,478(+4),[西] 西村真幸
9,3,6,タケショウベスト,牝5,53,柴田大知,1:09.8,1/2,138.3,15,482(0),[東] 田中清隆
10,8,17,ラベンダーヴァレイ,牝6,54,岩田望来,1:09.9,1/2,32.6,10,448(+4),[西] 藤原英昭
11,8,18,ツクバクロオー,牡4,53,秋山真一,1:10.0,3/4,154.5,16,452(0),[西] 坂口智康
12,2,3,ゲンキチハヤブサ,セ7,53,国分恭介,1:10.0,ハナ,162.4,17,500(+8),[西] 川村禎彦
13,7,14,ラフィングマッチ,牡4,55,太宰啓介,1:10.0,ハナ,65.9,14,502(+8),[西] 北出成人
14,6,11,スカイパッション,牝7,50,川又賢治,1:10.1,クビ,255.2,18,470(-4),[西] 作田誠二
15,1,2,フレッチア,牡4,57,スミヨン,1:10.1,クビ,4.9,3,490(-8),[東] 木村哲也
16,1,1,クインズチャパラ,牝4,52,Ｍ．デム,1:10.3,1.1/4,8.8,4,458(+4),[西] 野中賢二
17,4,8,コロラトゥーレ,牝5,53,坂井瑠星,1:10.4,1/2,65.9,13,480(+12),[西] 梅田智之
18,8,16,ジャスパープリンス,牡4,56,岩田康誠,1:10.9,3,46.2,11,496(+18),[西] 森秀行
