着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,ショウリュウイクゾ,牡3,55,川田将雅,2:27.4,,1.8,1,494(0),[西] 佐々木晶
2,5,5,ゴースト,セ3,55,マーフィ,2:27.8,2.1/2,6.3,2,498(+8),[西] 橋口慎介
3,2,2,フラッグサルート,牝4,55,池添謙一,2:27.9,1/2,63.9,9,442(-2),[西] 浜田多実
4,8,11,サダムラピュタ,牡4,57,松若風馬,2:27.9,アタマ,8.0,3,478(0),[西] 平田修
5,3,3,カズマークセン,牡3,55,武豊,2:28.0,1/2,8.3,4,500(+4),[西] 安田隆行
6,6,7,ダノンアポロン,牡4,55,岩田望来,2:28.4,2.1/2,39.4,8,494(+12),[西] 村山明
7,4,4,ピンクスパイダー,牡5,57,小牧太,2:28.6,1.1/4,192.8,11,434(-6),[西] 服部利之
8,7,8,アンドレアス,セ4,57,太宰啓介,2:28.8,1.1/4,87.6,10,440(-2),[西] 坂口智康
9,6,6,ハギノアップロード,牡3,55,福永祐一,2:29.2,2.1/2,11.9,6,478(+6),[西] 松田国英
10,1,1,ハーシェル,牡3,55,ルメール,2:29.3,1/2,9.1,5,460(0),[西] 小崎憲
11,7,9,コマノジャスパ,牡4,57,加藤祥太,2:29.5,1.1/4,23.1,7,446(-2),[西] 藤沢則雄
