着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,サクラユニヴァース,牝4,55,吉田隼人,1:48.3,,5.4,3.0,466(-8),[東] 高柳瑞樹
2,7,7,フラル,牝3,52,横山武史,1:48.5,1.1/4,5.0,2.0,458(+10),[西] 北出成人
3,4,4,ミモザイエロー,牝3,52,武藤雅,1:48.6,3/4,1.6,1.0,456(+4),[東] 戸田博文
4,3,3,ブラックイメル,牝4,55,石川裕紀,1:48.6,ハナ,93.2,8.0,472(-4),[東] 小野次郎
5,1,1,アイネバーフェイル,牝4,55,丹内祐次,1:48.7,1/2,10.3,4.0,470(+14),[東] 岩戸孝樹
6,2,2,ターフェルムジーク,牝4,55,藤岡佑介,1:49.1,2.1/2,19.1,6.0,444(+22),[西] 渡辺薫彦
7,5,5,エイカイマドンナ,牝4,55,荻野極,1:49.1,クビ,12.0,5.0,440(-2),[西] 藤原英昭
8,8,9,コウセイマユヒメ,牝8,55,松田大作,1:49.3,1.1/4,89.6,7.0,466(0),[東] 中野栄治
除,6,6,アドマイヤアルパマ,牝5,55,藤岡康太,,,---,,計不,[西] 須貝尚介
除,7,8,レッドフィオナ,牝4,55,北村友一,,,---,,454(+6),[西] 橋口慎介
