着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,9,ディバインフォース,牡3,54,横山武史,2:42.4,,6.2,3,448(+8),[西] 寺島良
2,2,2,ディーグランデ,セ5,57,柴山雄一,2:42.7,2,11.2,7,466(-4),[東] 鹿戸雄一
3,8,10,サンサルドス,牡3,54,北村友一,2:42.8,クビ,3.1,1,530(+8),[西] 安田隆行
4,3,3,エスピリトゥオーゾ,牡5,57,武豊,2:42.8,ハナ,6.3,4,462(0),[西] 木原一良
5,7,7,リードザフィールド,牡5,57,武藤雅,2:43.2,2.1/2,24.7,9,454(-6),[東] 大江原哲
6,4,4,ダークナイトムーン,セ4,57,藤岡佑介,2:43.3,1/2,8.8,6,476(+4),[東] 尾関知人
7,1,1,タニノドラマ,牡3,54,池添謙一,2:43.3,ハナ,6.0,2,434(+6),[西] 松田国英
8,7,8,ウイングセクション,牡4,57,荻野極,2:44.2,5,6.9,5,488(0),[東] 田中剛
9,5,5,ワークジュニア,牡4,57,岩田康誠,2:44.4,3/4,21.9,8,448(-8),[東] 高橋文雅
10,6,6,ロジャージーニアス,セ4,57,城戸義政,2:44.6,1.1/2,61.4,10,472(+12),[東] 武井亮
