着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,レッドフレイ,牡4,57,北村宏司,1:52.2,,3.8,1,466(0),[東] 木村哲也
2,5,8,ドゥラリュール,セ6,57,柴田善臣,1:52.3,1/2,28.1,8,460(-2),[東] 藤原辰雄
3,8,14,ショウナンサリュー,牡5,57,三浦皇成,1:52.6,1.3/4,6.0,5,484(-4),[西] 高野友和
4,5,9,サクラアリュール,牡4,57,戸崎圭太,1:52.8,1.1/4,5.2,3,458(-12),[西] 村山明
5,4,7,スペルマロン,セ5,57,内田博幸,1:53.5,4,5.6,4,502(+4),[東] 古賀史生
6,7,12,トゥーフラッシー,牝3,52,宮崎北斗,1:53.7,1.1/2,15.9,6,460(+2),[東] 高市圭二
7,2,3,グーテンターク,牡4,57,田辺裕信,1:53.8,クビ,53.6,10,492(-4),[西] 石坂正
8,3,5,ヤマニンリュシオル,牝4,55,伊藤工真,1:53.9,3/4,141.1,12,484(0),[東] 蛯名利弘
9,6,11,レッドゼノン,牡5,57,丸田恭介,1:54.0,1/2,28.0,7,456(-10),[西] 昆貢
10,4,6,リープリングスター,セ3,54,Ｍ．デム,1:54.3,1.3/4,4.1,2,538(-20),[東] 木村哲也
11,2,2,アークカンパネラ,牡4,57,津村明秀,1:54.7,2.1/2,152.1,13,500(+6),[東] 矢野英一
12,8,15,インテグリティー,牡6,57,田中勝春,1:55.5,5,162.4,14,474(-2),[西] 高橋義忠
13,7,13,ハルカノテソーロ,牡5,57,武藤雅,1:55.5,クビ,109.0,11,518(-2),[東] 高木登
14,6,10,シャムロック,牡5,57,石橋脩,1:55.9,2.1/2,28.9,9,494(0),[東] 小笠倫弘
15,3,4,エリーフェアリー,牝8,55,菊沢一樹,1:56.4,3,527.0,15,498(-2),[東] 天間昭一
