着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,エピックスター,セ4,57,藤田菜七,1:47.5,,16.0,5.0,442(-2),[東] 田村康仁
2,4,4,エテレインミノル,牡5,57,松田大作,1:47.6,1/2,4.5,2.0,500(0),[西] 北出成人
3,8,10,ナスノシンフォニー,牝4,55,吉田隼人,1:47.9,1.3/4,2.5,1.0,486(+4),[東] 武井亮
4,1,1,マイネルミュトス,牡3,55,丹内祐次,1:48.1,1.1/4,4.7,4.0,468(-2),[東] 鹿戸雄一
5,6,6,ブラゾンダムール,牡4,57,横山武史,1:48.2,3/4,17.1,6.0,486(+6),[西] 松永幹夫
6,5,5,ピノクル,牡3,55,柴山雄一,1:48.2,ハナ,4.5,3.0,492(+4),[西] 音無秀孝
7,7,8,グレルグリーン,牡3,55,石川裕紀,1:48.5,2,17.3,7.0,448(-6),[東] 相沢郁
8,7,7,ダイイチターミナル,牡5,57,嘉藤貴行,1:48.6,1/2,61.2,8.0,448(-2),[東] 高市圭二
9,8,9,オーケーブロッサム,牝3,53,小坂忠士,1:49.6,6,91.0,9.0,480(0),[西] 奥村豊
除,2,2,ナンヨープランタン,牡4,57,秋山真一,,,---,,454(-2),[西] 松永幹夫
