着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,オールマンリバー,牡7,60,難波剛健,3:05.6,,4.5,2,508(0),[西] 五十嵐忠
2,6,8,マイネルレオーネ,牡7,60,黒岩悠,3:05.7,3/4,9.4,6,406(+6),[西] 清水久詞
3,8,12,タイセイアプローズ,牡7,60,平沢健治,3:05.8,1/2,6.3,3,480(+2),[西] 宮本博
4,1,1,クリノサンスーシ,牝6,58,北沢伸也,3:05.9,3/4,4.1,1,462(+2),[西] 大根田裕
5,6,7,インウィスパーズ,牡5,60,熊沢重文,3:06.3,2,10.9,7,446(0),[西] 音無秀孝
6,8,11,デュアルメジャー,セ7,60,草野太郎,3:06.6,2,20.7,9,500(+8),[東] 黒岩陽一
7,5,5,バイオンディップス,牡7,60,石神深一,3:06.8,1.1/4,28.0,10,528(+4),[東] 小島茂之
8,7,10,ボナパルト,牡5,60,白浜雄造,3:07.1,1.1/2,8.1,5,506(0),[西] 庄野靖志
9,5,6,ホリデーモード,セ4,60,五十嵐雄,3:07.9,5,15.9,8,486(+4),[東] 矢野英一
10,7,9,カムイ,牡6,60,小野寺祐,3:08.8,5,100.0,12,482(+6),[東] 大和田成
11,2,2,メイショウゴウリキ,牡4,60,小坂忠士,3:09.4,3.1/2,65.8,11,494(+28),[西] 南井克巳
12,4,4,テンザワールド,牡5,60,西谷誠,3:11.1,大,7.1,4,434(+4),[西] 大久保龍
