着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,9,ヴィッテルスバッハ,牡3,56,石橋脩,1:35.6,,8.6,4,456(-2),[東] 池上昌和
2,8,11,ミモザイエロー,牝3,54,岩田康誠,1:35.6,クビ,5.6,3,450(+2),[東] 戸田博文
3,4,4,トロシュナ,牝3,54,北村宏司,1:36.3,4,2.8,2,446(+6),[東] 大竹正博
4,2,2,レディマクベス,牝3,54,蛯名正義,1:36.3,クビ,2.7,1,462(-6),[東] 藤沢和雄
5,7,8,アヴォンリー,牝3,52,野中悠太,1:36.5,1.1/4,23.3,8,456(+2),[東] 竹内正洋
6,6,7,メリーメーキング,牡3,56,浜中俊,1:36.6,3/4,16.6,6,446(-10),[西] 清水久詞
7,5,5,クロムウェル,牡3,56,杉原誠人,1:36.9,1.3/4,152.3,10,438(-2),[東] 加藤和宏
8,3,3,ロカマドール,牝3,54,三浦皇成,1:36.9,ハナ,13.9,5,434(-6),[東] 尾形和幸
9,1,1,レディードリー,牝3,54,武士沢友,1:37.1,1.1/2,17.3,7,444(+2),[東] 伊藤正徳
10,8,10,ラバストーン,牡3,53,山田敬士,1:37.5,2.1/2,260.6,11,448(-6),[東] 大江原哲
11,6,6,フルオブドリームズ,牝3,52,菊沢一樹,1:37.9,2.1/2,139.4,9,432(0),[東] 高木登
