着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,サトノティターン,牡6,57,シュタル,2:08.0,,2.2,1,574(-6),[東] 堀宣行
2,5,9,メイプルブラザー,牡5,54,宮崎北斗,2:08.6,3.1/2,23.3,7,496(+10),[西] 山内研二
3,6,12,クロスケ,牡4,55,北村宏司,2:08.6,ハナ,17.9,6,460(+2),[東] 水野貴広
4,1,2,ゴールデンブレイヴ,牡6,54,武藤雅,2:08.6,クビ,55.3,14,494(+2),[東] 木村哲也
5,2,4,ホーリーブレイズ,牡5,55,内田博幸,2:08.7,1/2,11.9,5,474(-4),[西] 高柳大輔
6,2,3,サトノプライム,牡5,54,古川吉洋,2:08.8,1/2,53.5,13,502(+2),[西] 南井克巳
7,4,8,ブラックバゴ,牡7,55,木幡巧也,2:09.2,2.1/2,60.0,15,516(-2),[東] 斎藤誠
8,8,16,サノサマー,牡5,54,大野拓弥,2:09.3,1/2,36.8,10,470(-14),[東] 中舘英二
9,3,6,メイショウスミトモ,牡8,55,津村明秀,2:09.3,アタマ,164.4,16,470(+2),[西] 南井克巳
10,5,10,カラクプア,セ6,54,石川裕紀,2:09.7,2.1/2,38.4,12,478(-6),[西] 松田国英
11,7,14,フェニックスマーク,牡5,56,吉田豊,2:09.7,ハナ,23.8,8,552(-2),[東] 田島俊明
12,6,11,コスモカナディアン,牡6,55,丹内祐次,2:10.4,4,10.8,4,494(-8),[東] 金成貴史
13,3,5,マイネルクラース,牡5,55,三浦皇成,2:10.4,アタマ,8.9,3,470(+2),[東] 高木登
14,4,7,ナムラアラシ,牡6,57,松岡正海,2:11.1,4,29.0,9,518(0),[西] 牧田和弥
15,1,1,テルペリオン,牡5,57,松若風馬,2:11.2,1/2,4.9,2,512(-10),[西] 寺島良
16,8,15,ミキノトランペット,牡5,54,武士沢友,2:11.8,3.1/2,37.9,11,520(+4),[西] 大橋勇樹
