着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,デュードヴァン,牡2,55,デットー,1:36.2,,2.5,1,476(+6),[東] 加藤征弘
2,7,13,ショウナンマリオ,牡2,55,菅原明良,1:36.3,3/4,50.0,10,468(+12),[東] 加藤士津
3,5,10,ダイメイコリーダ,牡2,55,松岡正海,1:36.5,1.1/2,28.4,7,468(+4),[西] 森田直行
4,1,1,オーロラテソーロ,牡2,55,大野拓弥,1:36.7,1.1/4,8.9,5,488(+4),[東] 畠山吉宏
5,8,16,ダノンファラオ,牡2,55,三浦皇成,1:37.0,1.1/2,6.8,3,518(-4),[西] 矢作芳人
6,3,5,ラブリーエンジェル,牝2,54,武士沢友,1:37.0,クビ,109.0,14,436(+4),[東] 堀井雅広
7,8,15,キョウエイゴー,牡2,55,丸山元気,1:37.1,クビ,35.7,8,496(0),[東] 萱野浩二
8,3,6,タイキルークス,牡2,55,菊沢一樹,1:37.3,1.1/4,78.3,13,512(+2),[東] 菊沢隆徳
9,2,4,コスモインペリウム,牡2,55,柴田大知,1:37.6,2,48.4,9,514(+12),[東] 和田雄二
10,6,12,アスターマリンバ,牡2,55,ムーア,1:38.2,3.1/2,17.7,6,514(-6),[西] 中竹和也
11,7,14,トーセンタイミング,牡2,55,横山和生,1:38.2,クビ,148.6,15,460(-4),[東] 土田稔
12,5,9,セラン,牝2,54,横山典弘,1:38.5,1.3/4,5.3,2,482(-6),[西] 松永幹夫
13,4,7,アメリカンベイビー,牡2,55,Ｍ．デム,1:38.5,ハナ,7.9,4,476(+10),[西] 庄野靖志
14,6,11,ハルプモント,牡2,55,北村宏司,1:38.6,クビ,192.7,16,480(-6),[東] 池上昌和
15,1,2,クレパト,牝2,54,坂井瑠星,1:38.8,1.1/4,67.6,12,460(-6),[西] 矢作芳人
16,4,8,マティアス,牡2,55,津村明秀,1:42.7,大,65.4,11,474(0),[西] 本田優
