着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,リフタスフェルト,牝3,54,丸山元気,1:10.4,,6.2,4,468(-4),[西] 鮫島一歩
2,6,12,ローブドール,牝3,53,森裕太朗,1:10.8,2.1/2,42.9,10,428(-4),[東] 和田雄二
3,5,10,アマゾニカ,牝3,54,津村明秀,1:11.0,1,3.7,1,438(-2),[東] 矢野英一
4,2,4,ザセイシュンズモウ,牝3,51,木幡育也,1:11.4,2.1/2,22.0,8,424(-2),[東] 伊藤伸一
5,7,14,ローマノキュウジツ,牝3,51,藤田菜七,1:11.4,ハナ,4.2,2,480(-4),[西] 牧浦充徳
6,4,8,マナカ,牝3,54,小崎綾也,1:11.4,クビ,5.9,3,486(-10),[西] 飯田祐史
7,2,3,リネンリボン,牝3,53,川又賢治,1:11.5,1/2,12.1,6,440(-6),[西] 坂口智康
8,1,2,アムルーズ,牝3,54,荻野極,1:12.1,3.1/2,99.7,12,442(+2),[東] 田中剛
9,7,13,アニヴェルセル,牝3,54,柴田大知,1:12.2,3/4,130.6,15,472(-4),[東] 伊藤大士
10,6,11,アイヴィーサ,牝3,53,横山武史,1:12.3,1/2,14.7,7,522(0),[東] 国枝栄
11,5,9,タガノガッキー,牝3,54,荻野琢真,1:12.6,2,97.4,11,454(0),[西] 今野貞一
12,8,16,ダズリン,牝3,52,西村淳也,1:12.7,クビ,8.8,5,460(-4),[西] 橋口慎介
13,4,7,ゴールドプリュム,牝3,53,木幡巧也,1:13.5,5,103.5,13,514(+8),[東] 牧光二
14,8,15,スペロラルーチェ,牝3,52,菊沢一樹,1:13.5,クビ,187.7,16,454(0),[東] 中野栄治
15,3,5,ネブローザ,牝3,51,大塚海渡,1:17.8,大,29.5,9,518(+10),[東] 斎藤誠
中,3,6,ロールラフィネ,牝3,54,木幡初也,,,105.7,14,490(0),[東] 鹿戸雄一
