着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,バーミーブリーズ,牝5,55,西田雄一,1:09.0,,19.4,7,466(+2),[東] 青木孝文
2,5,9,キャスパリーグ,牝5,55,鮫島克駿,1:09.0,アタマ,4.4,1,460(-12),[西] 浅見秀一
3,6,11,ペイシャドリーム,牝3,54,的場勇人,1:09.0,クビ,34.9,13,452(-8),[東] 高橋義博
4,3,6,サンノゼテソーロ,牡3,56,津村明秀,1:09.1,クビ,5.0,2,456(+2),[東] 田中博康
5,8,16,ヒロイックアゲン,牝5,55,荻野極,1:09.1,アタマ,5.2,3,480(0),[東] 加藤和宏
6,6,12,ドリームジャンボ,牝4,55,菅原明良,1:09.2,1/2,31.3,12,498(+6),[東] 南田美知
7,8,15,ファンタジステラ,牡5,57,松山弘平,1:09.2,クビ,7.2,4,434(-2),[西] 音無秀孝
8,3,5,シャインサンデー,牝5,55,横山武史,1:09.4,1.1/4,13.1,6,420(-6),[東] 加藤征弘
9,5,10,マイネルアルケミー,牡3,56,丹内祐次,1:09.6,1,22.1,8,472(+16),[東] 中野栄治
10,4,8,シンデレラメイク,牝4,55,菱田裕二,1:09.7,1/2,12.1,5,484(-8),[西] 鮫島一歩
11,2,4,アテンフラワー,牝4,55,高倉稜,1:09.7,ハナ,22.8,9,480(+4),[西] 牧浦充徳
12,1,1,トップソリスト,牝3,54,藤井勘一,1:09.7,アタマ,43.8,15,454(-6),[西] 中竹和也
13,7,13,トウカイレーヌ,牝5,55,中井裕二,1:09.7,クビ,26.0,10,426(-6),[西] 安田隆行
14,2,3,アーヒラ,牝4,55,杉原誠人,1:09.9,1,30.3,11,438(+4),[東] 石毛善彦
15,1,2,アルミューテン,牝5,55,勝浦正樹,1:10.4,3,35.4,14,494(-2),[東] 南田美知
16,4,7,ピカピカ,牝4,55,内田博幸,1:11.4,6,63.3,16,500(-6),[東] 石毛善彦
