着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,センショウユウト,牡4,57,藤岡佑介,1:25.0,,16.0,9,486(-4),[西] 笹田和秀
2,7,14,メラナイト,セ4,57,北村友一,1:25.2,1.1/4,4.5,2,458(-10),[西] 佐々木晶
3,2,4,セカンドエフォート,牡6,57,藤井勘一,1:25.2,クビ,15.5,8,514(-6),[西] 村山明
4,5,9,カミノコ,牡4,57,小牧太,1:25.3,1/2,8.4,4,472(0),[西] 森秀行
5,7,13,クリスエステソーロ,牡4,57,松山弘平,1:25.4,クビ,27.9,10,508(-6),[西] 小崎憲
6,3,5,ミッキーマインド,牡4,57,四位洋文,1:25.6,1.1/4,4.4,1,474(-2),[西] 音無秀孝
7,3,6,ボナパルト,牡5,57,シュタル,1:25.7,1/2,8.7,5,508(-2),[西] 庄野靖志
8,8,16,キングスクロス,牡4,57,和田竜二,1:25.8,1/2,10.5,7,466(+2),[西] 大久保龍
9,4,7,レッドヴェルサス,牡6,57,松若風馬,1:26.1,1.3/4,42.6,11,516(-8),[西] 橋口慎介
10,8,15,パンサーバローズ,牡5,57,浜中俊,1:26.3,1,8.8,6,498(-4),[西] 角居勝彦
11,1,1,ファストフラッシュ,牡4,57,国分恭介,1:26.3,クビ,52.0,12,482(-9),[西] 野中賢二
12,6,12,カタトゥンボ,牡4,57,川須栄彦,1:26.4,3/4,71.6,13,486(0),[西] 牧田和弥
13,6,11,ピラミッドファラオ,牡4,57,高田潤,1:26.5,1/2,220.8,15,496(+10),[西] 安達昭夫
14,1,2,ビコーズオブユー,セ4,57,酒井学,1:27.2,4,118.7,14,504(+6),[西] 中竹和也
15,2,3,ジャスパーエイト,牡4,57,岩田康誠,1:27.9,4,7.5,3,488(+2),[西] 森秀行
16,5,10,アイファータレント,牡5,57,高倉稜,1:29.7,大,601.1,16,512(-4),[西] 服部利之
