着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,7,フェアリーポルカ,牝3,54,和田竜二,1:46.8,,4.9,2,470(-2),[西] 西村真幸
2,6,6,サムシングジャスト,牝3,54,松山弘平,1:46.9,1/2,44.2,8,488(+6),[西] 松田国英
3,2,2,ビックピクチャー,牝3,54,福永祐一,1:47.1,1.1/2,7.8,3,400(0),[西] 藤原英昭
4,1,1,ラフェリシテ,牝3,54,ルメール,1:47.5,2.1/2,9.5,6,412(-10),[西] 須貝尚介
5,8,11,シトラスノート,牝3,54,岩田康誠,1:47.7,1.1/2,14.0,7,444(-6),[西] 石坂正
6,4,4,アルファライズ,牝3,54,藤岡佑介,1:47.9,1.1/4,135.3,10,440(-4),[西] 安田隆行
7,7,9,ナリス,牝3,54,北村友一,1:48.0,クビ,9.4,5,470(-10),[西] 今野貞一
8,7,8,リャスナ,牝3,54,川田将雅,1:48.0,クビ,2.0,1,434(-2),[西] 高野友和
9,3,3,セントセシリア,牝3,54,吉田隼人,1:48.0,ハナ,213.7,11,388(+6),[西] 矢作芳人
10,5,5,テーオーキャンディ,牝3,54,川須栄彦,1:48.4,2.1/2,8.3,4,420(-4),[西] 梅田智之
11,8,10,メイショウコミチ,牝3,54,浜中俊,1:50.6,大,129.6,9,442(-2),[西] 本田優
