着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,エアアルマス,牡4,56,ルメール,1:33.3,,2.7,1,480(-6),[西] 池添学
2,2,2,サウンドキアラ,牝4,54,福永祐一,1:33.7,2.1/2,2.9,2,450(-6),[西] 安達昭夫
3,6,8,エルプシャフト,牡6,55,川田将雅,1:33.9,1.1/2,6.1,3,460(-2),[西] 角居勝彦
4,7,9,ブルベアトリュフ,牡4,55,松山弘平,1:34.3,2.1/2,21.8,6,460(+8),[西] 千田輝彦
5,7,10,ドラグーンシチー,牡4,55,田辺裕信,1:34.3,ハナ,6.7,4,490(0),[西] 北出成人
6,1,1,ナムラムツゴロー,牡4,53,鮫島良太,1:34.3,ハナ,126.7,11,480(-14),[西] 長谷川浩
7,5,6,オーマイガイ,牡6,55,岡田祥嗣,1:34.7,2.1/2,14.3,5,480(-4),[西] 河内洋
8,4,4,シグナライズ,牝4,52,加藤祥太,1:34.7,クビ,39.9,9,492(0),[西] 藤原英昭
9,3,3,エアシーラン,牡7,50,藤懸貴志,1:34.7,ハナ,241.4,12,492(-2),[西] 小崎憲
10,6,7,メイショウミツボシ,牡7,53,太宰啓介,1:34.9,1.1/4,58.1,10,492(+2),[西] 本田優
11,8,12,サヤカチャン,牝4,52,高倉稜,1:35.0,クビ,32.2,8,468(+2),[西] 田所秀孝
12,8,11,カウントオンイット,牝5,52,和田竜二,1:35.5,3,30.1,7,508(-2),[西] 高野友和
