着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,マイネルネーベル,牡7,54,国分優作,1:45.5,,26.2,8,456(0),[西] 五十嵐忠
2,6,7,インビジブルレイズ,牡5,54,川又賢治,1:45.6,1/2,37.5,10,466(0),[西] 吉村圭司
3,2,2,ヒストリア,牝5,53,北村友一,1:45.6,クビ,19.8,7,456(-10),[東] 栗田徹
4,7,8,ルタンデュボヌール,牡5,55,岩田康誠,1:45.6,アタマ,28.5,9,468(-10),[西] 友道康夫
5,4,4,イストワールファム,牝5,53,荻野極,1:45.7,クビ,12.3,5,464(+4),[東] 古賀慎明
6,1,1,アルメリアブルーム,牝5,54,松若風馬,1:45.7,ハナ,19.6,6,430(-14),[西] 高橋康之
7,8,11,レッドガラン,牡4,55,福永祐一,1:45.8,1/2,2.3,1,510(+12),[西] 安田隆行
8,5,5,レイズアベール,牝5,52,武豊,1:45.8,クビ,6.1,3,446(0),[西] 吉村圭司
9,6,6,カフジバンガード,牡4,55,幸英明,1:45.9,1/2,6.9,4,486(0),[西] 木原一良
10,3,3,ワイプティアーズ,牡4,55,和田竜二,1:46.0,1/2,4.6,2,530(+8),[西] 加用正
11,7,9,サトノグラン,セ5,55,坂井瑠星,1:46.3,2,38.0,11,466(-2),[西] 矢作芳人
