着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,13,シャンドフルール,牝2,54,西村淳也,1:34.7,,18.9,8,498(-10),[西] 松永幹夫
2,4,5,ソウルトレイン,牡2,55,幸英明,1:35.0,2,9.9,4,462(+6),[西] 西村真幸
3,1,1,ジュビリーヘッド,牡2,55,北村友一,1:35.0,クビ,3.7,2,450(+4),[西] 安田隆行
4,5,7,ナイントゥファイブ,牝2,54,松田大作,1:35.3,2,12.9,5,460(0),[西] 西園正都
5,8,12,ヴィースバーデン,牝2,54,和田竜二,1:35.4,1/2,3.9,3,420(+2),[西] 角居勝彦
6,6,9,アサケエース,牡2,55,秋山真一,1:35.5,3/4,17.7,7,422(0),[西] 大橋勇樹
7,7,11,シャドウブロッサム,牝2,54,藤岡康太,1:35.7,1.1/4,3.2,1,446(0),[西] 藤岡健一
8,2,2,ライチェフェイス,牡2,55,吉田隼人,1:35.9,1.1/2,14.5,6,450(-2),[西] 平田修
9,6,8,ベッラヴォルタ,牝2,54,中井裕二,1:36.0,クビ,30.5,9,482(+12),[西] 加用正
10,4,4,マコトジェムチュク,牝2,54,荻野琢真,1:36.1,1/2,50.9,10,406(-8),[西] 寺島良
11,3,3,ワイエスキャンサー,牝2,54,山下雅之,1:36.6,3,264.0,12,410(-6),[地] 伊藤強一
12,7,10,フォギーショコラ,牡2,55,水口優也,1:36.7,3/4,401.1,13,432(-10),[東] 的場均
13,5,6,ミスマチルダ,牝2,54,田中勝春,1:36.9,1.1/2,216.8,11,446(-16),[西] 森秀行
