着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,カラル,セ6,55,団野大成,2:00.9,,1.9,1,488(-2),[西] 佐々木晶
2,7,8,セイカヤマノ,牡4,56,柴山雄一,2:02.0,7,8.8,4,490(-10),[東] 南田美知
3,4,4,アオテン,牡7,57,丸田恭介,2:02.1,クビ,10.7,5,524(+8),[東] 高橋文雅
4,6,7,ニシノトランザム,牡5,56,斎藤新,2:02.1,クビ,24.5,7,476(-14),[西] 森秀行
5,6,6,タイセイドレッサー,牡4,55,川又賢治,2:02.4,2,5.2,3,480(0),[西] 大橋勇樹
6,8,11,ヒロノワカムシャ,セ6,57,川島信二,2:02.5,1/2,36.4,8,484(0),[東] 石栗龍彦
7,5,5,ゼルク,セ4,56,吉田隼人,2:02.6,3/4,5.2,2,492(+2),[西] 松永幹夫
8,1,1,ベルクカッツェ,牡5,57,柴田大知,2:02.6,アタマ,120.1,11,484(-6),[東] 根本康広
9,7,9,タニノシェクハンド,牡4,56,荻野極,2:03.5,5,69.2,10,480(-2),[西] 村山明
10,2,2,ディライトラッシュ,牡6,56,菊沢一樹,2:04.2,4,65.3,9,502(-8),[東] 堀井雅広
11,8,10,ヒロノライデン,牡5,56,西村淳也,2:09.1,大,21.2,6,486(0),[東] 蛯名利弘
