着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,11,ベデザンジュ,牝3,52,横山典弘,2:35.7,,2.1,1,432(-4),[東] 久保田貴
2,6,9,エクセレントラン,牡3,54,柴田善臣,2:36.0,2,3.8,2,474(+2),[東] 大江原哲
3,5,7,ポーラーサマー,牡3,54,黛弘人,2:36.0,アタマ,7.1,3,520(-16),[東] 田中博康
4,4,5,クィーンユニバンス,牝4,55,内田博幸,2:36.1,クビ,214.4,13,512(0),[東] 田村康仁
5,6,10,インペリアルフィズ,牡6,57,石橋脩,2:36.2,1/2,23.5,7,476(+2),[東] 和田勇介
6,3,3,ラヴィアンレーヴ,牡4,57,石川裕紀,2:36.3,3/4,16.4,6,450(-14),[東] 田村康仁
7,1,1,カイザースクルーン,セ4,57,津村明秀,2:36.5,1.1/2,8.0,4,480(+4),[東] 相沢郁
8,7,12,ロマンテソーロ,牝5,53,菅原明良,2:37.0,3,30.7,8,458(+4),[東] 竹内正洋
9,3,4,ウシュバテソーロ,牡3,54,江田照男,2:37.3,1.3/4,11.5,5,510(-2),[東] 高木登
10,5,8,サイレントクララ,牝4,55,大野拓弥,2:37.5,1,92.8,10,510(0),[東] 小手川準
11,2,2,ロビンズソング,セ5,57,西田雄一,2:37.8,2,144.0,12,540(+22),[東] 古賀慎明
12,8,14,ジャッキー,牡6,54,小林脩斗,2:38.0,1.1/4,128.8,11,484(+4),[東] 高橋祥泰
13,4,6,ジュピターズライト,牡4,57,丸山元気,2:38.1,3/4,79.0,9,464(+8),[東] 金成貴史
14,8,13,ロイヤルディクリー,牡5,54,山田敬士,2:38.2,クビ,220.3,14,534(+4),[東] 小桧山悟
