着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,エムオーシャトル,牝2,54,田中勝春,1:08.9,,27.4,6,438(-16),[東] 鹿戸雄一
2,4,7,ラヴケリー,牝2,54,三浦皇成,1:09.3,2.1/2,1.8,1,438(0),[西] 高柳大輔
3,7,13,レガトゥス,牡2,55,横山武史,1:09.4,3/4,5.3,2,552(-6),[東] 木村哲也
4,7,14,ルミナスライン,牝2,54,木幡巧也,1:09.5,3/4,64.6,10,418(+4),[東] 清水英克
5,1,1,サニーオーシャン,牡2,55,田辺裕信,1:09.6,1/2,5.4,3,452(+2),[東] 中野栄治
6,3,6,セントポーリア,牝2,54,津村明秀,1:09.9,1.1/2,38.6,7,448(+2),[東] 高橋祥泰
7,4,8,ハッピーホンコン,牡2,55,内田博幸,1:09.9,アタマ,58.4,9,428(0),[地] 田中淳司
8,1,2,グレイトミッション,牝2,54,野中悠太,1:09.9,クビ,49.7,8,444(-2),[東] 菊川正達
9,8,15,フレンドパル,牝2,54,江田照男,1:10.0,3/4,75.5,11,458(-4),[東] 深山雅史
10,2,4,ホーキーポーキー,牝2,54,杉原誠人,1:10.1,1/2,144.0,13,450(-4),[東] 武市康男
11,3,5,クムシラコ,牡2,55,嶋田純次,1:10.2,クビ,14.5,4,454(-2),[東] 石毛善彦
12,6,12,アーガイルピンク,牝2,54,川島正太,1:10.3,1/2,202.9,15,410(-7),[地] 稲益貴弘
13,5,10,ピュアエール,牝2,54,柴田大知,1:10.7,2.1/2,129.8,12,458(+6),[東] 松永康利
14,5,9,トーセンマリア,牝2,54,横山和生,1:10.8,1/2,184.5,14,458(-8),[東] 古賀史生
15,2,3,エンテレケイア,牡2,55,戸崎圭太,1:11.0,1.1/4,25.1,5,494(+6),[東] 岩戸孝樹
16,8,16,サイタオフェーリア,牝2,54,木幡初也,1:11.8,5,214.5,16,436(+4),[東] 杉浦宏昭
