着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,トランスナショナル,牡4,57,田辺裕信,1:54.0,,1.8,1,490(+4),[東] 田村康仁
2,1,2,ピオノノ,牡3,56,川田将雅,1:54.4,2.1/2,4.9,3,522(+8),[東] 奥村武
3,8,16,エイシンヨッシー,牡4,57,武藤雅,1:54.6,3/4,61.6,8,458(0),[西] 今野貞一
4,5,10,フルデプスリーダー,牡3,56,戸崎圭太,1:54.6,ハナ,3.6,2,478(-4),[東] 斎藤誠
5,5,9,ゴールドフレーム,セ4,57,北村宏司,1:54.7,3/4,29.3,5,478(+4),[東] 新開幸一
6,2,3,ロジカルガール,牝4,55,嘉藤貴行,1:55.0,1.3/4,284.0,15,478(-2),[東] 大和田成
7,3,6,テンノサクラコ,牝7,55,小林凌大,1:55.1,1/2,298.6,16,494(0),[東] 小西一男
8,7,14,シャドウセッション,セ4,57,三浦皇成,1:55.3,3/4,36.8,6,528(+4),[東] 鹿戸雄一
9,6,12,マーキュリーセブン,牡3,56,大野拓弥,1:55.4,1,63.2,9,456(+2),[東] 加藤士津
10,4,7,フェイバリット,牡3,56,原優介,1:55.5,アタマ,109.0,10,470(+10),[東] 小桧山悟
11,3,5,マイネルアストリア,牡3,56,内田博幸,1:55.5,クビ,175.1,14,514(+6),[東] 武市康男
12,6,11,アコルドエール,牡3,56,丸山元気,1:55.8,1.1/2,13.0,4,502(+8),[東] 中川公成
13,7,13,ディーエスプルーフ,牡3,56,江田照男,1:55.8,ハナ,134.9,12,442(+4),[東] 伊藤圭三
14,8,15,オンワードセルフ,牡4,57,坂井瑠星,1:56.2,2.1/2,168.9,13,502(+8),[西] 村山明
15,1,1,クロカドッグ,牡3,56,秋山稔樹,1:56.2,クビ,121.7,11,512(+14),[東] 竹内正洋
16,2,4,フィルストバーン,セ4,57,斎藤新,1:56.2,ハナ,38.6,7,462(+6),[東] 斎藤誠
