着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ケイティクレバー,牡5,60,平沢健治,3:44.3,,3.0,1,470(-2),[西] 杉山晴紀
2,3,3,ブレスアロット,牡7,60,石神深一,3:44.8,3,19.3,8,476(+6),[東] 高柳瑞樹
3,6,9,マイネルレオーネ,牡8,60,黒岩悠,3:45.0,1.1/4,9.4,6,408(+8),[西] 清水久詞
4,2,2,スズカプレスト,牡8,61,北沢伸也,3:45.9,5,8.8,5,472(+6),[西] 橋田満
5,7,11,タイセイアプローズ,牡8,60,植野貴也,3:46.5,3.1/2,7.0,3,502(0),[西] 宮本博
6,6,8,リングオブハピネス,牝7,58,小坂忠士,3:46.5,クビ,42.2,10,482(-8),[西] 奥村豊
7,4,5,セイウンフォーカス,牡5,60,中村将之,3:46.6,3/4,12.7,7,482(+4),[西] 宮本博
8,5,7,シゲルスズキ,牡7,60,佐久間寛,3:47.1,3,142.3,13,524(-4),[西] 藤沢則雄
9,4,4,ミュートエアー,牡7,62,草野太郎,3:47.8,4,30.4,9,468(+4),[東] 岩戸孝樹
10,5,6,メイショウオトコギ,セ11,61,西谷誠,3:50.0,大,4.5,2,512(0),[西] 飯田祐史
11,7,10,トーアディラン,セ7,61,五十嵐雄,3:53.2,大,8.7,4,498(0),[東] 藤原辰雄
12,8,12,ヒロノタイリク,牡5,60,田村太雅,3:53.9,4,84.8,12,514(+8),[西] 宮本博
中,8,13,クリュティエ,牝6,59,山本康志,,,42.3,11,480(+12),[東] 松山将樹
