着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,5,ベストタッチダウン,牡4,56,川田将雅,1:48.3,,1.9,1,498(+14),[西] 橋口慎介
2,1,1,ブラックウォーリア,牡4,56,和田竜二,1:48.8,3,24.7,8,510(+12),[西] 西村真幸
3,4,6,リワードアンヴァル,牡4,56,津村明秀,1:48.9,クビ,15.3,4,512(-6),[東] 藤原辰雄
4,8,13,グレートタイム,牡5,57,福永祐一,1:48.9,ハナ,2.9,2,484(0),[西] 藤原英昭
5,2,2,テイエムチェロキー,牡6,57,岩田康誠,1:49.0,3/4,21.0,6,496(+4),[西] 杉山晴紀
6,3,4,フリーフリッカー,牡6,57,北村友一,1:49.1,1/2,9.5,3,492(+2),[西] 安田隆行
7,5,7,ブライトンロック,牡6,57,フォーリ,1:49.4,2,24.7,7,478(+4),[東] 田中清隆
8,6,9,タガノヴェローナ,牝6,55,国分恭介,1:49.8,2.1/2,116.8,11,504(+20),[西] 長谷川浩
9,3,3,カレンカカ,牡6,57,シュタル,1:50.2,2.1/2,52.3,9,504(+6),[西] 安田隆行
10,6,10,レッドウィズダム,牡7,57,酒井学,1:50.4,1,267.7,14,502(0),[西] 角居勝彦
11,5,8,メイショウテムズ,牡6,57,小牧太,1:50.6,1.1/2,227.4,13,500(+10),[西] 庄野靖志
12,7,11,グアン,牝5,55,四位洋文,1:52.5,大,17.1,5,478(+6),[西] 武幸四郎
13,7,12,レッドレグナント,牝5,55,池添謙一,1:53.2,4,88.4,10,484(+2),[東] 大竹正博
中,8,14,メイショウタチマチ,牝7,55,坂井瑠星,,,136.6,12,502(-2),[西] 河内洋
