着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,ダイメイコリーダ,牡3,56,池添謙一,1:51.5,,6.6,3,480(-6),[西] 森田直行
2,8,16,マテンロウスパーク,牡3,56,横山典弘,1:51.7,1.1/2,10.3,5,498(-4),[西] 昆貢
3,3,6,アルコレーヌ,牝3,54,ルメール,1:52.1,2.1/2,4.0,1,456(+8),[西] 奥村豊
4,7,13,ロンドンデリーエア,牡3,56,武豊,1:52.8,4,7.1,4,452(-2),[西] 武英智
5,4,8,ドスハーツ,牡3,56,幸英明,1:52.9,クビ,58.3,11,466(-4),[西] 松永昌博
6,2,4,モンサンイルベント,牡3,56,坂井瑠星,1:53.2,1.3/4,17.7,10,492(-12),[西] 飯田祐史
7,6,12,エイシンアメンラー,牡3,55,岩田望来,1:53.3,3/4,15.7,8,488(+2),[西] 野中賢二
8,5,10,メイショウドヒョウ,牡3,56,松田大作,1:54.0,4,4.9,2,478(0),[西] 西園正都
9,1,1,ロードグリュック,牡3,56,川須栄彦,1:54.1,1/2,12.2,7,470(+2),[西] 松下武士
10,5,9,アグロウ,牝3,54,田中健,1:54.3,1,142.0,14,416(-8),[西] 浅見秀一
11,8,15,バカラ,牡3,56,浜中俊,1:54.7,2.1/2,17.6,9,538(-2),[西] 鈴木孝志
12,2,3,エイシンワルツ,牝3,54,和田竜二,1:55.5,5,154.5,15,428(-4),[西] 小崎憲
13,7,14,キャルブルー,牡3,56,川島信二,1:55.5,ハナ,59.7,12,510(0),[西] 村山明
14,3,5,アブルハウル,牡3,56,川田将雅,1:55.7,1,10.5,6,486(-6),[西] 池江泰寿
15,6,11,セルファース,牡3,56,藤井勘一,1:56.7,6,126.8,13,522(-2),[西] 石坂公一
16,1,2,マイネルクライマー,牡3,56,国分優作,1:56.8,クビ,155.3,16,488(0),[西] 西園正都
