着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,13,ダンツゴウユウ,牡6,57,菱田裕二,1:42.6,,3.6,2,466(-6),[西] 谷潔
2,5,8,リアンヴェリテ,牡6,58,国分恭介,1:42.8,1.1/4,6.8,3,482(0),[西] 中竹和也
3,8,14,ハイランドピーク,牡6,58,横山武史,1:42.8,クビ,9.8,5,474(+16),[東] 土田稔
4,4,6,ロードグラディオ,牡4,56,藤岡康太,1:42.9,1/2,53.2,9,484(-2),[西] 西浦勝一
5,4,5,アディラート,牡6,57,吉田隼人,1:43.2,1.3/4,13.8,6,506(-4),[西] 須貝尚介
6,1,1,テーオーヘリオス,牡8,58,荻野琢真,1:43.3,1/2,71.7,11,502(-18),[西] 梅田智之
7,7,11,カラクプア,セ7,56,丸山元気,1:43.3,クビ,97.7,13,494(+6),[西] 松田国英
8,6,10,メイショウワザシ,牡5,57,古川吉洋,1:43.3,アタマ,7.8,4,540(-4),[西] 南井克巳
9,3,3,ロードアクシス,牡5,56,大野拓弥,1:43.3,ハナ,21.8,8,474(+6),[西] 奥村豊
10,3,4,ナムラカメタロー,牡4,58,石川裕紀,1:43.6,1.3/4,2.8,1,506(+4),[東] 稲垣幸雄
11,5,7,デザートスネーク,セ6,56,藤岡佑介,1:44.0,2.1/2,20.1,7,482(0),[東] 武井亮
12,2,2,ヨシオ,牡7,57,勝浦正樹,1:44.1,1/2,54.3,10,482(-4),[西] 森秀行
13,6,9,フェニックスマーク,牡6,56,柴山雄一,1:44.6,3,101.5,14,546(+2),[東] 田島俊明
14,7,12,サングラス,牡9,57,団野大成,1:44.9,1.3/4,86.4,12,508(0),[西] 谷潔
