着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,タイムフライヤー,牡5,57.0,ルメール,1:43.6,,3.8,2,484(+4),[西] 松田国英
2,8,13,カラクプア,セ7,54.0,坂井瑠星,1:44.2,3.1/2,47.6,11,494(0),[西] 松田国英
3,3,4,アディラート,牡6,56.0,吉田隼人,1:44.2,クビ,17.3,7,510(+4),[西] 須貝尚介
4,5,7,ケイアイパープル,牡4,54.0,藤岡康太,1:44.4,1,6.4,3,502(-8),[西] 村山明
5,7,12,ロードアクシス,牡5,54.0,大野拓弥,1:44.4,ハナ,12.3,5,472(-2),[西] 奥村豊
6,2,2,デザートスネーク,セ6,55.0,松田大作,1:44.4,クビ,88.8,14,484(+2),[東] 武井亮
7,1,1,メイショウワザシ,牡5,56.0,古川吉洋,1:44.5,クビ,15.1,6,542(+2),[西] 南井克巳
8,7,11,テーオーヘリオス,牡8,57.0,荻野琢真,1:44.6,3/4,60.7,12,504(+2),[西] 梅田智之
9,3,3,ロードグラディオ,牡4,55.0,池添謙一,1:44.8,1.1/4,8.1,4,486(+2),[西] 西浦勝一
10,8,14,ゴライアス,牡5,55.0,丸山元気,1:45.1,1.1/2,19.7,8,506(0),[東] 高木登
11,6,10,テーオーエナジー,牡5,56.0,藤岡佑介,1:45.9,5,42.9,10,512(-6),[西] 宮徹
12,4,6,ヨシオ,牡7,56.0,勝浦正樹,1:46.0,3/4,88.5,13,480(-2),[西] 森秀行
13,6,9,リアンヴェリテ,牡6,57.5,国分恭介,1:46.1,3/4,3.0,1,486(+4),[西] 中竹和也
14,4,5,ラインカリーナ,牝4,53.0,菱田裕二,1:46.7,3.1/2,20.6,9,492(+2),[東] 武藤善則
