着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,メイショウカズサ,牡3,53,川田将雅,1:43.8,,2.6,1,474(-4),[西] 安達昭夫
2,4,7,サンティーニ,セ5,54,川又賢治,1:44.5,4,35.6,8,486(-8),[西] 羽月友彦
3,3,6,レディマドンナ,牝4,52,幸英明,1:44.6,1/2,11.0,4,450(-2),[西] 角居勝彦
4,7,14,ペガサス,牡4,56,和田竜二,1:44.8,1.1/2,3.7,2,458(+8),[西] 大久保龍
5,6,12,レッドゼノン,牡6,54,富田暁,1:45.0,1.1/4,74.4,13,472(+4),[西] 昆貢
6,4,8,メリッサーニ,牝5,52,川須栄彦,1:45.4,2.1/2,44.3,10,498(+6),[西] 笹田和秀
7,2,3,カムカム,牡6,54,岡田祥嗣,1:45.4,アタマ,59.8,12,474(+2),[西] 浜田多実
8,6,11,シゲルマツタケ,牝5,51,荻野極,1:45.5,クビ,94.5,14,454(+6),[西] 谷潔
9,8,15,タフチョイス,牡5,54,鮫島良太,1:45.8,2,37.1,9,496(-2),[西] 角田晃一
10,5,9,ティボリドライヴ,牝4,52,松山弘平,1:45.9,クビ,22.2,6,486(+20),[西] 石坂公一
11,8,16,ハイエストクイーン,牝5,51,酒井学,1:46.1,1.1/2,109.7,15,492(-2),[西] 吉村圭司
12,3,5,クインズマラクータ,牡6,53,中井裕二,1:46.2,クビ,126.7,16,520(+2),[西] 新谷功一
13,7,13,モーニングサン,牡4,54,鮫島克駿,1:46.6,2.1/2,15.1,5,466(-2),[西] 橋口慎介
14,1,1,ドラセナ,セ5,54,藤井勘一,1:46.8,1.1/4,49.5,11,484(-2),[西] 奥村豊
15,1,2,エピキュール,牡3,53,松若風馬,1:46.9,クビ,4.7,3,516(+4),[西] 杉山晴紀
16,2,4,メイショウオトワ,牝4,52,太宰啓介,1:47.0,3/4,28.8,7,464(+2),[西] 飯田祐史
