着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,6,ミッキーブラック,牡4,60,平沢健治,3:08.1,,1.9,1,486(+2),[西] 音無秀孝
2,5,5,ケンホファヴァルト,牡7,60,熊沢重文,3:08.7,3.1/2,3.9,2,482(+12),[西] 森秀行
3,3,3,テイエムグッドマン,牡6,60,高田潤,3:09.4,4,7.1,3,496(+2),[西] 武英智
4,7,8,ディード,牡4,60,西谷誠,3:10.2,5,8.3,4,514(+4),[西] 斉藤崇史
5,2,2,マイネルパラディ,セ6,60,白浜雄造,3:10.2,クビ,18.8,7,464(+4),[西] 田所秀孝
6,1,1,シゲルミズガメザ,牡3,58,植野貴也,3:11.2,6,36.7,8,460(+10),[西] 鈴木孝志
7,8,10,マコトガラハッド,セ7,60,三津谷隼,3:12.1,5,16.9,5,498(+2),[西] 鮫島一歩
8,8,9,デジタルプレイヤー,牡3,58,田村太雅,3:13.1,6,118.3,10,450(+2),[西] 武英智
9,4,4,テイエムギフテッド,牡5,60,北沢伸也,3:17.3,大,53.7,9,468(-2),[西] 五十嵐忠
中,7,7,ピボットポイント,牡5,60,中村将之,,,18.6,6,482(-6),[西] 松下武士
