着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,ロードアクア,牡4,57,川須栄彦,1:09.2,,4.3,2,460(-6),[西] 浅見秀一
2,4,4,クーファウェヌス,牝5,55,武豊,1:09.2,クビ,3.5,1,492(-2),[西] 武幸四郎
3,5,5,ラミエル,牝4,55,松山弘平,1:09.4,1.1/4,6.6,4,464(-2),[西] 橋口慎介
4,1,1,ブラックダンサー,牝4,55,幸英明,1:09.8,2.1/2,26.4,7,476(0),[西] 高野友和
5,6,7,サヴァイヴ,牡3,55,川田将雅,1:09.9,クビ,4.3,3,466(+2),[西] 清水久詞
6,7,9,メジャーレート,牡5,57,藤岡康太,1:10.1,1.1/2,37.7,10,446(-2),[西] 石坂公一
7,8,11,イルヴェントドーロ,牝4,55,松若風馬,1:10.3,1,14.5,6,456(+14),[西] 池添学
8,2,2,ルールダーマ,牡5,57,酒井学,1:10.5,1,31.1,8,482(0),[西] 北出成人
9,6,6,デルタバローズ,セ5,57,和田竜二,1:10.5,クビ,6.8,5,526(+14),[西] 西村真幸
10,3,3,メイショウツバキ,牝5,55,鮫島良太,1:10.8,1.3/4,34.5,9,456(-8),[西] 西橋豊治
11,7,8,ホッコーシェルビー,牡4,57,国分優作,1:11.2,2.1/2,62.1,11,512(+2),[西] 西浦勝一
