着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,6,ミトロジー,牡4,57,三浦皇成,1:46.8,,2.6,1,484(0),[東] 尾関知人
2,4,5,ショーヒデキラ,牡4,57,内田博幸,1:46.8,クビ,17.9,7,478(0),[東] 鈴木伸尋
3,8,12,タガノスカイハイ,牡5,57,鮫島克駿,1:47.2,2.1/2,23.2,8,500(+2),[西] 角田晃一
4,7,10,カナロアガール,牝4,53,藤田菜七,1:47.3,クビ,4.0,2,464(-4),[東] 田村康仁
5,1,1,ペプチドオーキッド,牡5,57,古川吉洋,1:47.4,1/2,34.7,10,494(0),[西] 武英智
6,6,9,ホウオウヒミコ,牝4,54,岩田望来,1:47.4,ハナ,4.8,3,452(+19),[東] 大竹正博
7,4,4,フィデリオグリーン,牡4,57,丸山元気,1:47.5,1/2,14.8,5,494(-4),[東] 根本康広
8,5,7,アルディテッツァ,牡4,54,亀田温心,1:47.6,1/2,40.7,11,506(+2),[西] 橋口慎介
9,2,2,マイネルプリンチペ,牡5,57,柴田大知,1:47.6,クビ,11.4,4,466(0),[東] 畠山吉宏
10,6,8,ショウナンサスケ,牡7,57,松若風馬,1:47.6,ハナ,15.0,6,466(-8),[西] 高橋義忠
11,7,11,ダイシンクイント,牡6,56,団野大成,1:47.7,3/4,30.0,9,484(-4),[西] 森秀行
12,3,3,コスモミローディア,牡4,57,丹内祐次,1:47.9,1.1/4,69.2,12,458(+6),[東] 清水英克
13,8,13,サンライズルーク,牡5,57,川又賢治,1:49.4,9,219.5,13,518(-2),[西] 新谷功一
