着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,7,ヴェントヴォーチェ,牡3,56,蛯名正義,0:55.1,,4.0,1,500(+4),[西] 牧浦充徳
2,4,5,シャイニールミナス,牝3,54,丹内祐次,0:55.4,1.3/4,13.4,6,456(0),[東] 岩戸孝樹
3,4,6,リヴェール,牝3,54,吉田隼人,0:55.5,1/2,20.5,8,428(-8),[西] 鮫島一歩
4,8,13,グッドマックス,牝3,54,丸山元気,0:55.5,ハナ,5.2,3,454(-2),[東] 堀井雅広
5,6,9,ゴーゴーチアフル,牝3,54,岩田望来,0:55.7,1.1/2,7.7,4,494(0),[西] 中竹和也
6,1,1,ラフィンクロンヌ,牝3,54,勝浦正樹,0:55.7,アタマ,30.9,11,464(+4),[東] 高橋祥泰
7,6,10,リッチクレマチス,牝3,54,菅原明良,0:55.9,1,8.3,5,450(+2),[東] 青木孝文
8,7,11,デルマガーネット,牝3,54,菊沢一樹,0:56.1,1,51.8,13,450(+8),[東] 堀井雅広
9,7,12,テイエムミラージュ,牝3,54,太宰啓介,0:56.3,1.1/2,5.0,2,466(0),[西] 木原一良
10,5,8,グッドステージ,牡3,56,斎藤新,0:56.5,1,31.1,12,518(+12),[西] 宮徹
11,8,14,ヴィンチェーレ,牝3,54,三浦皇成,0:56.5,クビ,13.5,7,394(-12),[西] 武英智
12,3,3,ノヘア,牝3,54,西村太一,0:56.5,アタマ,57.0,14,428(+4),[東] 伊藤大士
13,3,4,ワルツフォーデビー,牡3,56,団野大成,0:56.8,1.3/4,27.2,9,438(0),[西] 森秀行
14,2,2,ビオグラフィー,牝3,54,鮫島克駿,0:59.0,大,30.3,10,464(-10),[西] 藤岡健一
