着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,マスラオ,セ6,60,金子光希,3:08.7,,11.4,4,460(+4),[東] 金成貴史
2,8,13,ストレイライトラン,牡5,60,五十嵐雄,3:09.4,4,14.1,5,504(+14),[東] 堀井雅広
3,5,7,コウユーホクト,牡5,60,大江原圭,3:09.6,1.1/2,1.5,1,510(-2),[東] 竹内正洋
4,3,3,ルグランパントル,セ8,60,伴啓太,3:10.3,4,24.5,7,478(0),[東] 稲垣幸雄
5,5,8,ブルーガーディアン,牡8,60,平沢健治,3:10.7,2.1/2,9.9,3,506(+16),[東] 星野忍
6,4,5,スズカワークシップ,牡5,60,北沢伸也,3:11.2,3,41.5,11,482(+8),[西] 橋田満
7,3,4,モンツァ,セ5,60,上野翔,3:11.4,1,40.3,10,528(-6),[東] 鹿戸雄一
8,7,12,ショウナンタイザン,牡7,60,森一馬,3:13.1,大,19.2,6,508(-2),[西] 梅田智之
9,6,10,アーブルルージュ,牝4,57,山本康志,3:15.2,大,174.1,13,444(+6),[東] 松山将樹
10,8,14,ゴールドムーン,牝5,58,小野寺祐,3:15.6,2.1/2,265.6,14,454(+14),[東] 浅野洋一
11,4,6,レッドレイル,セ4,59,高田潤,3:16.3,4,49.3,12,440(0),[西] 角居勝彦
12,2,2,メイショウナンプウ,牡6,60,熊沢重文,3:16.3,クビ,25.7,8,496(+2),[西] 荒川義之
13,6,9,アスカノハヤテ,牡6,60,植野貴也,3:16.4,1/2,33.3,9,486(+6),[西] 川村禎彦
中,7,11,アーバンキッド,セ7,60,石神深一,,,8.0,2,482(-6),[東] 武井亮
