着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,14,ツブラナヒトミ,牡5,57,松山弘平,1:51.2,,5.2,2,504(-2),[西] 中竹和也
2,7,12,アスクハードスパン,牡5,57,幸英明,1:51.4,1.1/4,19.3,6,534(-8),[西] 河内洋
3,4,5,コスタネラ,牝5,55,秋山真一,1:51.8,2.1/2,31.5,8,460(+10),[西] 大久保龍
4,5,8,ウインフォルティス,牡5,57,和田竜二,1:52.4,3.1/2,10.8,5,498(+2),[西] 加用正
5,7,11,モダスオペランディ,牡4,57,石橋脩,1:52.6,1.1/2,6.4,3,508(-2),[西] 西園正都
6,3,4,オノリス,牡5,57,川田将雅,1:52.7,クビ,7.9,4,508(-10),[西] 吉田直弘
7,1,1,コンボルブルス,牡4,57,泉谷楓真,1:52.9,1.1/2,105.2,13,430(0),[西] 本田優
8,5,7,オンザウェイ,牡4,57,内田博幸,1:52.9,クビ,48.0,12,522(-6),[東] 大和田成
9,8,13,アスターストーリー,牝6,55,荻野極,1:53.2,1.3/4,36.9,9,462(0),[西] 湯窪幸雄
10,6,10,メイショウアステカ,牝4,55,和田翼,1:53.4,1.1/4,37.1,10,502(0),[西] 武幸四郎
11,3,3,フラッシングジェム,牝4,55,岩田望来,1:53.6,1,39.0,11,474(-2),[東] 大和田成
12,4,6,リシュブール,牡5,57,岡田祥嗣,1:53.6,クビ,20.3,7,484(0),[西] 藤原英昭
13,2,2,ヴィアメント,牡3,54,横山典弘,1:54.0,2.1/2,2.2,1,476(-6),[東] 鹿戸雄一
14,6,9,タニノホウザン,牡6,57,武士沢友,1:54.6,3.1/2,183.4,14,476(-4),[東] 星野忍
