着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,18,ハイアーグラウンド,セ6,57,福永祐一,1:33.9,,9.5,4,508(-8),[東] 大和田成
2,5,10,フランジヴェント,牝3,52,丸山元気,1:34.3,2.1/2,8.6,3,468(0),[東] 金成貴史
3,8,17,リュクスポケット,牡5,57,斎藤新,1:34.3,クビ,82.1,16,522(+4),[西] 庄野靖志
4,2,3,ガロシェ,牝4,55,Ｍ．デム,1:34.4,クビ,2.9,1,456(-6),[東] 戸田博文
5,7,15,ジャストアジゴロ,牡4,57,北村宏司,1:34.5,1/2,33.5,12,450(0),[西] 安田翔伍
6,6,12,アルムフォルツァ,牡5,57,岩田康誠,1:34.5,ハナ,5.6,2,454(-12),[西] 五十嵐忠
7,1,1,エピックスター,セ5,57,田辺裕信,1:34.7,1.1/4,14.1,6,442(+2),[東] 田村康仁
8,7,13,レッドベレーザ,牝4,55,戸崎圭太,1:34.7,アタマ,16.8,7,436(+4),[西] 石坂正
9,7,14,ウォークザライン,牡4,57,武藤雅,1:34.8,3/4,106.4,17,480(+6),[西] 高橋亮
10,8,16,アルトリウス,セ6,57,菊沢一樹,1:34.9,クビ,61.5,15,458(-8),[東] 高橋文雅
11,6,11,エイムアンドエンド,牡5,57,秋山真一,1:34.9,クビ,23.9,10,506(+2),[東] 奥村武
12,1,2,リバーシブルレーン,牡4,57,菅原明良,1:34.9,アタマ,110.0,18,438(+10),[東] 高木登
13,4,7,ウインレフィナード,牡4,57,三浦皇成,1:35.1,1.1/4,11.3,5,448(0),[東] 畠山吉宏
14,2,4,ヘイワノツカイ,牡4,57,津村明秀,1:35.6,3,22.8,9,452(-10),[東] 相沢郁
15,3,5,コスモエスパーダ,牡4,57,柴田大知,1:35.7,3/4,20.5,8,484(+2),[東] 伊藤大士
16,3,6,ショワドゥロワ,牡6,57,石橋脩,1:35.9,1.1/2,24.5,11,516(+2),[東] 鹿戸雄一
17,5,9,モデレイト,牝5,55,野中悠太,1:36.2,1.1/2,41.8,13,486(+16),[東] 松永康利
18,4,8,ソングオブザハート,牝3,52,岩田望来,1:36.3,3/4,48.5,14,422(+2),[西] 寺島良
