着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,10,ポンデザール,牝5,54,ルメール,2:37.6,,3.6,2,492(-6),[東] 堀宣行
2,7,11,ボスジラ,牡4,56,武豊,2:38.3,4,3.2,1,512(+4),[東] 国枝栄
3,1,1,ナイママ,牡4,56,丹内祐次,2:38.6,1.3/4,16.4,6,472(-2),[東] 武藤善則
4,3,3,シンボ,牡3,52,古川吉洋,2:38.6,クビ,20.5,7,460(+2),[地] 斉藤正弘
5,8,13,ヒュッゲ,牡3,52,吉田隼人,2:38.9,2,6.2,3,474(0),[西] 友道康夫
6,5,7,ウラヌスチャーム,牝5,56,横山典弘,2:39.0,3/4,7.9,5,514(+12),[東] 斎藤誠
7,2,2,ルミナスウォリアー,牡9,58,川島信二,2:39.0,ハナ,130.3,13,474(-2),[西] 新谷功一
8,7,12,ウインイクシード,牡6,57,田辺裕信,2:39.1,1/2,7.9,4,496(0),[東] 鈴木伸尋
9,6,9,ブラックスピネル,セ7,58,団野大成,2:39.2,3/4,42.3,10,516(+6),[西] 音無秀孝
10,8,14,プリンスオブペスカ,牡6,56,藤井勘一,2:39.6,2.1/2,27.3,9,482(-4),[西] 松永昌博
11,4,6,デザートスネーク,セ6,56,松田大作,2:40.4,5,48.6,11,484(0),[東] 武井亮
12,5,8,ロサグラウカ,牝5,54,横山武史,2:40.8,2.1/2,21.4,8,464(+14),[東] 尾関知人
13,3,4,ルフィアンキック,牡4,56,石川倭,2:41.0,1,122.3,12,468(-2),[地] 米川昇
14,4,5,ソーディスイズラヴ,牝6,54,荻野琢真,2:42.0,6,296.0,14,428(-6),[地] 田中正二
