着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ヒナノコバン,牡3,51,秋山稔樹,1:49.0,,134.4,13,456(+2),[東] 本間忍
2,6,9,ケルンキングダム,セ4,57,ルメール,1:49.0,アタマ,1.6,1,446(0),[西] 松田国英
3,6,10,ブラックデビル,セ5,57,坂井瑠星,1:49.1,クビ,14.4,5,464(-10),[東] 中野栄治
4,7,12,ファントムグレイ,牡7,57,大野拓弥,1:49.3,1.1/2,4.1,2,446(0),[東] 杉浦宏昭
5,1,1,スズカゼ,牝6,52,山田敬士,1:49.5,1.1/4,14.3,4,488(+10),[東] 深山雅史
6,5,8,ロッソモラーレ,牡3,54,黛弘人,1:49.7,1,63.9,9,456(0),[東] 清水英克
7,3,3,ディーイストワール,牡4,57,武豊,1:50.4,4,17.8,6,464(0),[東] 大和田成
8,8,14,ディープサドラーズ,セ4,57,吉田隼人,1:50.7,2,13.8,3,446(+2),[西] 藤原英昭
9,2,2,サイモンバトラー,牡3,54,松田大作,1:51.1,2.1/2,117.0,11,462(+4),[東] 勢司和浩
10,4,5,ダンツシルビア,牝3,50,亀田温心,1:51.3,3/4,44.1,8,452(+2),[西] 谷潔
11,8,13,ユノディエール,牡6,57,古川吉洋,1:51.3,クビ,70.5,10,458(-4),[西] 岡田稲男
12,7,11,メイショウニタボウ,牡3,54,川島信二,1:51.8,3,190.1,14,516(+10),[西] 飯田祐史
13,5,7,コスモレリア,牡5,57,丹内祐次,1:52.5,4,23.7,7,468(-2),[東] 奥村武
14,4,6,フジコウキ,牡3,54,荻野琢真,1:52.7,1.1/4,122.2,12,456(+4),[東] 大江原哲
