着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,14,ウインドオブホープ,セ7,57,勝浦正樹,1:46.5,,12.5,5,534(+10),[東] 石毛善彦
2,5,8,フームスムート,牡3,54,横山武史,1:46.9,2.1/2,2.8,1,508(-4),[東] 水野貴広
3,5,7,パープルヒビキ,牡5,57,大野拓弥,1:47.3,2.1/2,30.0,10,524(-4),[西] 飯田雄三
4,7,12,デルマカミカゼ,牡5,57,石川裕紀,1:47.4,クビ,18.0,7,462(-4),[東] 小野次郎
5,4,5,ブロッコリー,牡5,57,丹内祐次,1:47.5,1/2,6.6,4,478(-4),[西] 牧田和弥
6,4,6,ナムラゴロフキン,牡3,54,柴山雄一,1:47.7,1,20.9,8,490(-4),[西] 大橋勇樹
7,3,3,ノワールフレグラン,牝3,52,吉田隼人,1:47.8,1/2,4.4,2,440(+2),[西] 西村真幸
8,3,4,ユキノレベッカ,牝3,52,川島信二,1:47.9,3/4,139.9,13,454(+4),[東] 和田正一
9,2,2,クラウンデザイアー,牡3,54,菱田裕二,1:48.4,3,14.3,6,486(+8),[西] 中竹和也
9,8,13,エムテイフラッシュ,牡3,54,亀田温心,1:48.4,同着,57.3,11,482(-4),[西] 谷潔
11,1,1,レゴリス,セ4,57,藤岡佑介,1:48.6,1.1/4,6.6,3,480(-2),[西] 昆貢
12,6,10,エンペラーズパレス,牡3,54,水口優也,1:49.1,3,21.5,9,504(+4),[西] 羽月友彦
13,6,9,クラウドスケープ,牡4,57,黛弘人,1:49.1,ハナ,91.5,12,492(+6),[東] 藤原辰雄
14,7,11,ゴールデンヘイロー,牡4,57,秋山稔樹,1:51.2,大,169.1,14,490(-4),[西] 高橋康之
