着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,ビッククインバイオ,牝3,54,大野拓弥,1:21.7,,4.6,2,476(-2),[東] 牧光二
2,3,6,クリノプレミアム,牝3,54,丸山元気,1:21.8,1/2,7.7,4,454(-8),[東] 伊藤伸一
3,8,16,バトルカグヤ,牝3,54,津村明秀,1:22.1,2,34.1,10,452(0),[西] 本田優
4,4,8,ダイワクンナナ,牝3,54,北村宏司,1:22.2,クビ,8.7,5,486(-8),[東] 国枝栄
5,6,11,シベール,牝3,54,Ｍ．デム,1:22.2,クビ,4.1,1,450(-4),[東] 久保田貴
6,1,2,フィオリキアリ,牝3,54,宮崎北斗,1:22.2,アタマ,13.8,7,432(-2),[西] 清水久詞
7,5,9,コミカライズ,牝3,54,横山典弘,1:22.5,2,5.6,3,454(0),[東] 和田勇介
8,2,4,スウィートメリナ,牝3,54,田辺裕信,1:22.6,クビ,22.8,9,424(0),[東] 菊川正達
9,8,15,エレガンテレイナ,牝3,54,武藤雅,1:22.6,ハナ,38.2,11,432(0),[東] 高柳瑞樹
10,6,12,ビオグラフィー,牝3,54,ミナリク,1:22.6,アタマ,19.5,8,464(+2),[西] 藤岡健一
11,1,1,クイックレス,牝3,54,石川裕紀,1:22.7,1/2,150.5,15,444(+4),[東] 中舘英二
12,3,5,セイラブミー,牝3,54,内田博幸,1:22.7,ハナ,350.6,16,438(-6),[東] 伊藤大士
13,4,7,スリリングドリーム,牝3,54,ルメール,1:23.1,2.1/2,9.0,6,446(+2),[東] 小野次郎
14,7,13,ハニーリン,牝3,54,吉田豊,1:23.3,1.1/4,62.1,12,466(-2),[東] 堀井雅広
15,2,3,メイプルプレゼント,牝3,54,森裕太朗,1:23.3,クビ,92.1,13,446(+2),[東] 高市圭二
16,7,14,フィドル,牝3,54,横山和生,1:24.4,7,148.7,14,422(-8),[東] 高市圭二
