着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ピーエムピンコ,牝3,54,ヒューイ,1:32.1,,7.4,4,396(0),[東] 和田正一
2,6,7,サクラトゥジュール,牡3,56,レーン,1:32.2,3/4,1.7,1,492(-6),[東] 堀宣行
3,5,5,シングンバズーカ,牡3,56,柴田善臣,1:32.7,3,13.4,5,466(-8),[東] 大江原哲
4,7,9,オシリスブレイン,牡3,56,大野拓弥,1:32.7,クビ,5.9,3,486(-6),[東] 田村康仁
5,5,6,ネバーゴーンアウト,牡3,56,武藤雅,1:32.8,クビ,246.8,12,488(+2),[東] 鹿戸雄一
6,8,11,ラパンセソバージュ,牡3,56,福永祐一,1:32.8,クビ,5.5,2,456(0),[東] 大竹正博
7,3,3,ミャゴラーレ,牡3,56,野中悠太,1:33.2,2.1/2,83.6,7,518(+8),[東] 黒岩陽一
8,6,8,スリリングドリーム,牝3,54,津村明秀,1:33.4,1.1/4,122.6,9,446(+2),[東] 小野次郎
9,7,10,メリディアンローグ,牡3,56,北村宏司,1:33.5,1/2,15.0,6,468(+6),[東] 藤沢和雄
10,8,12,シゲルミカヅキ,牡3,53,小林脩斗,1:33.9,2.1/2,121.3,8,442(-6),[東] 伊藤圭三
11,1,1,イッツアワターン,牝3,54,石川裕紀,1:34.2,1.3/4,182.2,11,424(-4),[東] 相沢郁
12,4,4,タイムマシン,牡3,54,木幡育也,1:34.8,3.1/2,127.7,10,444(-2),[東] 手塚貴久
