着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,8,ナックジーニアス,牡3,55,田中勝春,2:10.4,,3.2,2,516(+4),[東] 宗像義忠
2,6,9,ヴィーヴルサヴィ,セ5,55,菅原明良,2:10.8,2.1/2,133.8,13,502(-2),[東] 奥平雅士
3,4,5,モルタル,牡3,55,ルメール,2:10.9,アタマ,3.1,1,476(0),[東] 加藤征弘
4,7,11,ニューツーリズム,牡4,57,横山和生,2:11.6,4,10.3,5,514(+14),[東] 黒岩陽一
5,2,2,ファイブリーフ,牡3,55,北村宏司,2:11.7,3/4,13.9,6,510(+4),[東] 岩戸孝樹
6,3,3,スキルショット,牡3,55,三浦皇成,2:12.0,2,4.7,3,492(+18),[東] 加藤士津
7,8,12,アナザークイーン,牝4,55,津村明秀,2:12.4,2,81.1,10,480(+6),[東] 天間昭一
8,8,13,マコトネネキリマル,牡4,57,内田博幸,2:13.1,4,8.4,4,448(+16),[東] 伊坂重信
9,4,4,グーガルドリームズ,セ3,55,野中悠太,2:13.7,3.1/2,22.3,7,492(+4),[東] 伊藤伸一
10,1,1,エンパイアカラー,セ6,57,江田照男,2:13.9,1.1/2,50.6,9,518(+6),[東] 藤原辰雄
11,5,6,ヒロノワカムシャ,セ6,54,小林凌大,2:14.2,1.3/4,94.4,11,484(0),[東] 石栗龍彦
12,5,7,セイカアーナンダイ,牡3,55,石川裕紀,2:14.3,1/2,127.2,12,472(+22),[東] 相沢郁
13,7,10,マイネルイヴィンス,セ4,57,柴田大知,2:14.7,2.1/2,42.4,8,516(+8),[東] 清水英克
