着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ノーブルワークス,牝4,55,西村淳也,1:09.3,,4.9,2,470(+18),[西] 吉田直弘
2,7,13,バカラクイーン,牝4,55,吉田隼人,1:09.4,3/4,5.5,3,476(-4),[東] 武井亮
3,2,2,プロスペリティ,牝4,55,嶋田純次,1:09.6,1.1/4,37.9,11,444(-18),[東] 手塚貴久
4,4,7,ディスパーション,牝6,55,団野大成,1:09.7,1/2,14.7,7,472(+6),[東] 大和田成
5,4,6,セイウンミツコ,牝5,55,勝浦正樹,1:09.7,アタマ,6.8,4,462(+4),[東] 杉浦宏昭
6,5,9,モテモテ,牝4,55,古川吉洋,1:09.7,アタマ,52.0,12,458(0),[西] 南井克巳
7,7,12,ミッキーパパイア,牝5,55,菊沢一樹,1:09.9,1,7.1,5,468(-2),[東] 菊沢隆徳
8,6,11,メイショウオニテ,牡4,57,秋山真一,1:09.9,ハナ,28.6,8,460(0),[西] 石橋守
9,2,3,モエレコネクター,牡4,57,丸田恭介,1:09.9,アタマ,3.7,1,508(-10),[東] 大竹正博
10,3,4,ドゥモワゼル,牝6,55,山田敬士,1:09.9,クビ,116.0,15,464(+2),[東] 粕谷昌央
11,8,14,スーパーノーマル,牝5,55,原田和真,1:10.0,1/2,14.4,6,460(0),[東] 伊藤大士
12,6,10,ガビーズドリーム,牡4,57,黛弘人,1:10.0,クビ,69.1,13,464(-2),[東] 中野栄治
13,3,5,グリニッチヴィレジ,牝7,55,横山武史,1:10.1,1/2,35.2,10,430(0),[東] 天間昭一
14,8,15,サウンドオブビット,牡7,57,木幡初也,1:10.3,1.1/4,74.0,14,478(0),[東] 松永康利
15,1,1,マイネルパッセ,牡7,57,丹内祐次,1:12.8,大,31.0,9,466(+2),[東] 萱野浩二
