着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,フォイヤーヴェルク,牡7,60,森一馬,3:01.0,,2.5,1,456(0),[西] 池江泰寿
2,7,11,セイウンフォーカス,牡5,60,中村将之,3:01.1,3/4,13.7,6,482(-2),[西] 宮本博
3,4,5,テイエムコンドル,牡9,60,伴啓太,3:01.6,3,27.4,9,466(-4),[東] 石栗龍彦
4,7,12,トラキアンコード,セ8,60,石神深一,3:02.2,3.1/2,6.6,4,512(-2),[東] 武市康男
5,6,10,リボンナイト,牡6,60,田村太雅,3:02.2,ハナ,23.7,7,446(+2),[西] 村山明
6,3,4,オブリゲーション,牡7,60,小坂忠士,3:02.3,1/2,5.0,2,472(-12),[西] 奥村豊
7,8,14,アースドラゴン,牡4,60,大江原圭,3:02.3,クビ,159.9,13,480(-4),[東] 根本康広
8,3,3,インフルエンサー,牡6,60,草野太郎,3:02.6,2,98.0,11,452(+10),[東] 深山雅史
9,8,13,ワンスインアライフ,牡7,60,北沢伸也,3:02.9,1.1/2,127.9,12,488(+6),[西] 谷潔
10,5,8,フライクーゲル,牡4,60,小野寺祐,3:02.9,クビ,9.5,5,486(-10),[東] 黒岩陽一
11,4,6,スマートボムシェル,牡8,60,平沢健治,3:03.0,クビ,24.2,8,508(-4),[西] 吉田直弘
12,6,9,エムアイグランツ,牡4,60,伊藤工真,3:03.1,1/2,54.5,10,512(-6),[東] 青木孝文
13,1,1,カポラヴォーロ,セ5,60,五十嵐雄,3:04.1,6,6.2,3,494(0),[東] 堀井雅広
14,5,7,サダムドミニック,セ6,60,黒岩悠,3:05.0,5,190.4,14,452(-12),[西] 平田修
