着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,カレンシュトラウス,牡3,55,吉田隼人,1:49.6,,1.4,1,502(0),[西] 平田修
2,2,2,アキノコマチ,牝4,55,菅原明良,1:49.9,1.3/4,5.8,2,430(-2),[東] 田中剛
3,7,12,ブラックデビル,セ5,57,菱田裕二,1:50.0,3/4,13.9,4,470(+6),[東] 中野栄治
4,5,7,ウォーターブレイク,牝4,55,斎藤新,1:50.1,3/4,61.7,9,464(-8),[西] 河内洋
5,6,9,タツオウカケンラン,牝3,53,富田暁,1:50.3,1,95.5,14,448(+8),[西] 鮫島一歩
6,6,10,アーニングフェイム,牝3,53,柴田大知,1:50.4,1/2,36.5,8,450(-6),[西] 浜田多実
7,7,11,ダイシンクイント,牡6,57,川又賢治,1:50.5,1/2,30.9,7,486(+2),[西] 森秀行
8,3,4,ヴィクトワールメイ,牝4,55,丸田恭介,1:50.7,1.1/4,21.9,5,430(-4),[東] 萱野浩二
9,3,3,メガディスカバリー,セ4,57,勝浦正樹,1:50.7,クビ,69.1,10,454(-6),[東] 水野貴広
10,5,8,プロース,牡4,57,宮崎北斗,1:50.8,1/2,81.3,11,506(-4),[東] 田村康仁
11,1,1,グレンフィナン,セ5,57,鮫島克駿,1:50.9,3/4,28.4,6,486(-4),[東] 鹿戸雄一
12,8,14,ナスノコウラン,牡4,57,亀田温心,1:50.9,クビ,90.3,13,502(-14),[東] 矢野英一
13,4,5,ショウナンバレリオ,牡3,55,中井裕二,1:51.0,クビ,87.4,12,490(-8),[西] 池添兼雄
14,8,13,ラズルダズル,牡3,55,西村淳也,1:51.2,1.1/2,8.3,3,454(+16),[西] 斉藤崇史
