着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,ウェスタールンド,セ8,56,藤岡佑介,1:49.8,,7.5,3,480(-5),[西] 佐々木晶
2,6,11,アナザートゥルース,セ6,58,大野拓弥,1:50.1,1.3/4,15.8,7,484(+1),[東] 高木登
3,2,4,クリンチャー,牡6,57,石橋脩,1:50.1,ハナ,4.9,2,490(-2),[西] 宮本博
4,8,15,リワードアンヴァル,牡4,56,三浦皇成,1:50.1,ハナ,14.6,5,510(0),[東] 藤原辰雄
5,5,9,コマビショウ,牡5,56,松若風馬,1:50.2,3/4,77.6,11,498(+2),[西] 南井克巳
6,5,10,サトノプライム,牡6,56,古川吉洋,1:50.6,2.1/2,353.2,13,496(-6),[西] 南井克巳
7,3,6,アングライフェン,牡8,56,藤井勘一,1:50.6,クビ,40.6,9,492(-1),[西] 安田隆行
8,2,3,ロードゴラッソ,牡5,57,浜中俊,1:50.7,3/4,9.2,4,474(+2),[西] 藤岡健一
9,7,14,メイショウスミトモ,牡9,57,小牧太,1:51.0,1.3/4,562.6,16,486(0),[西] 南井克巳
10,6,12,モズアトラクション,牡6,57,幸英明,1:51.0,ハナ,50.6,10,500(+6),[西] 松下武士
11,7,13,ナムラアラシ,牡7,56,坂井瑠星,1:51.1,3/4,135.2,12,528(-6),[西] 牧田和弥
12,1,1,ノーブルサターン,牡6,56,高倉稜,1:51.5,2.1/2,407.3,15,504(+2),[西] 牧浦充徳
13,1,2,ワイルドカード,牡6,56,岩田望来,1:51.6,クビ,28.9,8,546(-8),[東] 木村哲也
14,4,7,ベストタッチダウン,牡4,56,川田将雅,1:52.3,4,2.0,1,498(0),[西] 橋口慎介
15,3,5,ルールソヴァール,セ8,56,松田大作,1:52.6,2,368.8,14,502(-4),[東] 高木登
16,8,16,メイショウワザシ,牡5,56,秋山真一,1:52.8,1.1/4,14.8,6,544(+4),[西] 南井克巳
