着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,クロノジェネシス,牝4,56,北村友一,2:13.5,,4.1,2,464(+10),[西] 斉藤崇史
2,7,14,キセキ,牡6,58,武豊,2:14.5,6,14.2,6,502(-10),[西] 角居勝彦
3,6,12,モズベッロ,牡4,58,池添謙一,2:15.3,5,106.1,12,480(+2),[西] 森田直行
4,3,5,サートゥルナーリア,牡4,58,ルメール,2:15.6,1.3/4,2.4,1,508(+6),[西] 角居勝彦
5,5,10,メイショウテンゲン,牡4,58,松山弘平,2:15.6,クビ,206.2,16,466(-4),[西] 池添兼雄
6,6,11,ラッキーライラック,牝5,56,Ｍ．デム,2:16.0,2.1/2,4.9,3,524(+4),[西] 松永幹夫
7,3,6,トーセンスーリヤ,牡5,58,横山和生,2:16.3,2,150.2,14,484(+2),[東] 小野次郎
8,1,1,トーセンカンビーナ,牡4,58,浜中俊,2:16.4,クビ,83.8,11,464(+6),[西] 角居勝彦
9,7,13,ダンビュライト,セ6,58,松若風馬,2:16.6,1.1/4,82.9,10,488(-2),[西] 音無秀孝
10,4,8,レッドジェニアル,牡4,58,酒井学,2:16.7,3/4,169.0,15,484(-2),[西] 高橋義忠
11,7,15,スティッフェリオ,牡6,58,幸英明,2:16.7,ハナ,53.7,8,444(-2),[西] 音無秀孝
12,8,17,カデナ,牡6,58,鮫島克駿,2:16.8,クビ,82.5,9,486(0),[西] 中竹和也
13,4,7,ワグネリアン,牡5,58,福永祐一,2:16.8,クビ,19.8,7,470(+4),[西] 友道康夫
14,5,9,アドマイヤアルバ,セ5,58,西村淳也,2:17.6,5,526.4,18,468(0),[西] 須貝尚介
15,1,2,ペルシアンナイト,牡6,58,和田竜二,2:18.0,2,149.5,13,500(-2),[西] 池江泰寿
16,8,18,ブラストワンピース,牡5,58,川田将雅,2:18.0,アタマ,9.9,4,542(0),[東] 大竹正博
17,2,3,グローリーヴェイズ,牡5,58,レーン,2:18.8,5,10.7,5,460(+14),[東] 尾関知人
18,2,4,アフリカンゴールド,セ5,58,藤井勘一,2:21.8,大,413.5,17,466(+2),[西] 西園正都
