着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,メイショウテンスイ,牡3,54,川田将雅,1:22.2,,2.6,1.0,510(0),[西] 南井克巳
2,8,16,サトノギャロス,牡4,56,川島信二,1:22.2,クビ,5.3,2.0,518(-6),[西] 西園正都
3,1,1,エイシンポジション,牝4,53,福永祐一,1:22.4,1.1/4,5.6,3.0,434(+4),[西] 野中賢二
4,6,12,ゴールドラグーン,牡4,55,荻野極,1:22.4,アタマ,52.6,12.0,490(-12),[西] 斉藤崇史
5,2,4,ジャスパーウィン,牡5,55,小牧太,1:22.5,クビ,14.6,7.0,504(0),[西] 森秀行
6,8,15,フィールドセンス,牡6,56,川須栄彦,1:22.7,1.1/4,12.0,4.0,540(-4),[西] 千田輝彦
7,6,11,シャドウハンター,牡4,55,斎藤新,1:22.7,アタマ,21.6,8.0,532(-2),[西] 藤岡健一
8,1,2,タガノプレトリア,牡5,55,太宰啓介,1:22.7,ハナ,12.6,6.0,468(-4),[西] 宮徹
9,5,10,メイショウヴォルガ,牡6,53,酒井学,1:23.0,1.3/4,118.5,14.0,500(+10),[西] 本田優
10,4,8,メイショウコゴミ,牝5,53,幸英明,1:23.2,1.1/4,21.6,9.0,444(-12),[西] 飯田祐史
11,2,3,マッスルビーチ,牡4,56,和田竜二,1:23.2,ハナ,12.2,5.0,472(-2),[西] 鈴木孝志
12,7,14,ロングベスト,牡6,54,秋山真一,1:23.3,クビ,84.3,13.0,522(+2),[西] 大根田裕
13,4,7,スマートアルタイル,牡5,55,浜中俊,1:23.8,3,33.2,10.0,464(+2),[西] 小崎憲
14,5,9,クライシス,牡7,55,北村友一,1:24.0,1.1/4,45.6,11.0,492(-4),[西] 鮫島一歩
15,3,6,ジュエアトゥー,セ6,54,松若風馬,1:24.1,クビ,124.6,15.0,494(-6),[西] 坂口智康
除,3,5,ヨドノビクトリー,牡6,54,松山弘平,,,---,,510(+4),[西] 北出成人
