着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,ライトウォーリア,牡3,54,岩田望来,1:50.0,,9.4,5,484(+2),[西] 高野友和
2,2,4,サルサレイア,牝4,55,松山弘平,1:50.2,1.1/2,7.3,3,488(+4),[西] 羽月友彦
3,8,15,レオンコロナ,牡4,57,和田竜二,1:50.6,2.1/2,30.8,11,462(+8),[西] 鈴木孝志
4,5,10,バンクオブクラウズ,牡3,54,藤井勘一,1:50.7,クビ,4.0,1,502(-6),[西] 石坂公一
5,7,13,ペガサス,牡4,57,武豊,1:50.7,クビ,4.2,2,450(-4),[西] 大久保龍
6,4,7,テンザワールド,牡6,57,斎藤新,1:50.8,クビ,29.8,10,430(+2),[西] 大久保龍
7,8,16,モーニングサン,牡4,57,西村淳也,1:50.8,アタマ,74.2,15,468(+2),[西] 橋口慎介
8,3,6,スピンドクター,セ5,57,小崎綾也,1:50.8,ハナ,41.3,14,464(0),[西] 野中賢二
9,2,3,レディマドンナ,牝4,55,川田将雅,1:50.9,3/4,14.3,6,452(-2),[西] 角居勝彦
10,1,1,ロードリバーサル,牡4,57,北村友一,1:51.0,1/2,40.1,13,482(-8),[西] 藤岡健一
11,4,8,ロワシーナ,牡4,57,浜中俊,1:51.0,ハナ,7.4,4,484(+2),[西] 吉岡辰弥
12,6,11,ネクストムーブ,牡7,57,鮫島良太,1:51.2,3/4,114.0,16,512(0),[西] 清水久詞
13,3,5,セイヴァリアント,牡4,57,福永祐一,1:51.2,アタマ,17.7,8,492(-6),[東] 中川公成
14,1,2,デュアルウィールド,牝5,55,幸英明,1:51.4,1.1/4,16.3,7,500(-6),[西] 森田直行
15,5,9,マイネルブロッケン,牡6,57,国分優作,1:51.5,1/2,26.7,9,430(-10),[西] 五十嵐忠
16,7,14,カラル,セ6,57,松若風馬,1:52.2,4,32.9,12,486(0),[西] 佐々木晶
