着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,8,サターン,牡5,57,福永祐一,2:01.7,,2.4,1,498(+8),[西] 辻野泰之
2,1,1,ホウオウエクレール,牡4,57,藤岡康太,2:01.8,3/4,5.1,3,498(-4),[西] 宮徹
3,2,2,イロゴトシ,牡4,57,岩田望来,2:02.0,1.1/4,9.6,5,472(+2),[西] 牧田和弥
4,4,4,シーリアスラブ,牡5,57,和田竜二,2:02.1,3/4,5.9,4,466(0),[西] 杉山佳明
5,3,3,シャドウセッション,セ5,57,武豊,2:02.3,1.1/4,4.2,2,514(-6),[東] 鹿戸雄一
6,8,9,メイショウロセツ,牡6,57,西村淳也,2:02.5,1.1/4,11.8,6,502(+4),[西] 河内洋
7,8,10,ジョウショームード,牡5,57,国分優作,2:02.7,3/4,28.7,7,436(-10),[西] 服部利之
8,6,6,アグネスリバティ,牡8,57,松若風馬,2:02.7,ハナ,79.6,8,494(-2),[西] 宮本博
9,7,7,ヴァンベールシチー,セ7,57,団野大成,2:02.8,1,153.4,9,420(0),[東] 辻哲英
10,5,5,ブリーズスズカ,牡8,57,太宰啓介,2:03.6,5,283.3,10,476(+8),[西] 大橋勇樹
