着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,タイセイシリウス,牡4,57,松若風馬,2:14.5,,24.1,6,492(0),[西] 高野友和
2,7,7,セントオブゴールド,牡4,57,福永祐一,2:14.6,クビ,1.9,1,450(-2),[東] 木村哲也
3,3,3,メイショウテンモン,牡6,57,小沢大仁,2:14.6,クビ,43.5,8,508(+6),[西] 松永昌博
4,5,5,ジョウショームード,牡5,57,国分優作,2:14.9,1.1/2,26.1,7,438(+2),[西] 服部利之
5,8,10,サイモンルモンド,セ4,57,浜中俊,2:14.9,ハナ,22.0,5,444(-6),[西] 小林真也
6,1,1,マスラオ,セ7,57,幸英明,2:15.1,1.1/2,12.4,3,442(-4),[東] 金成貴史
7,6,6,アステロイドベルト,牡4,57,岩田望来,2:15.4,1.3/4,2.2,2,484(+4),[西] 池江泰寿
8,7,8,ブリーズスズカ,牡8,57,太宰啓介,2:16.0,3.1/2,126.5,10,476(0),[西] 大橋勇樹
9,2,2,サンライズローリエ,牡6,57,池添謙一,2:16.1,1/2,20.9,4,462(+6),[西] 小林真也
10,8,9,トウカイデュエル,牡4,57,富田暁,2:17.1,6,54.7,9,458(-2),[西] 長谷川浩
