着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,ジャスパープリンス,牡6,57,松山弘平,1:22.1,,9.3,4,498(0),[西] 森秀行
2,1,2,メイショウウズマサ,牡5,56,武豊,1:22.3,1.1/2,3.4,1,498(0),[西] 安田隆行
3,6,12,スマートダンディー,牡7,59,秋山真一,1:22.7,2.1/2,17.9,10,500(-4),[西] 石橋守
4,5,10,メイショウベンガル,牡4,56,松若風馬,1:22.9,1,50.6,13,470(-8),[西] 松永昌博
5,7,14,サダムスキャット,牝4,54,川須栄彦,1:23.1,3/4,6.7,3,476(+10),[西] 中尾秀正
6,4,7,ドウドウキリシマ,牡5,56,和田竜二,1:23.2,1,16.2,8,488(0),[西] 村山明
7,3,5,ロイヤルパールス,牡6,56,中井裕二,1:23.5,1.1/2,33.2,11,520(0),[西] 池添兼雄
8,8,16,アイオライト,牡4,56,川田将雅,1:23.5,クビ,5.2,2,488(-4),[東] 武藤善則
9,5,9,サトノラファール,牡4,56,藤岡康太,1:23.6,クビ,38.2,12,546(+14),[西] 中竹和也
10,8,15,メイショウオーパス,牡6,57,幸英明,1:23.8,1.1/4,16.6,9,502(+2),[西] 飯田祐史
11,7,13,オーロラテソーロ,牡4,56,池添謙一,1:24.1,2,13.7,6,498(-8),[東] 畠山吉宏
12,4,8,メイショウテンスイ,牡4,57,酒井学,1:24.1,アタマ,12.2,5,520(-4),[西] 南井克巳
13,3,6,コンパウンダー,牡6,56,菱田裕二,1:24.4,1.1/2,53.4,14,460(-4),[西] 石橋守
14,2,3,ボンセルヴィーソ,牡7,57,岩田望来,1:24.4,クビ,16.1,7,480(-2),[西] 池添学
15,2,4,デターミネーション,牡5,56,岩田康誠,1:24.9,3,54.2,15,484(+8),[西] 小崎憲
16,1,1,ロジクライ,牡8,59,松田大作,1:25.6,4,194.7,16,524(-8),[西] 須貝尚介
