着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,ヴィルチュオーズ,牝2,54,松田大作,1:22.3,,43.3,9.0,420(0),[西] 武幸四郎
2,6,12,ヴァレッタカズマ,牡2,54,川田将雅,1:22.4,1/2,2.1,1.0,498(0),[西] 安田隆行
3,6,11,ホートンプレインズ,牝2,54,福永祐一,1:22.4,クビ,8.1,3.0,430(0),[西] 平田修
4,8,15,レッドアクトゥール,牡2,54,松山弘平,1:22.9,3,4.1,2.0,462(0),[西] 須貝尚介
5,3,6,ナムラキャッツ,牝2,54,和田竜二,1:22.9,クビ,43.5,10.0,400(0),[西] 鈴木孝志
6,8,16,オリンピッカー,牡2,54,岩田望来,1:23.0,クビ,15.6,5.0,468(0),[西] 藤岡健一
7,1,1,テイクザワールド,牡2,54,岩田康誠,1:23.0,クビ,22.8,6.0,446(0),[西] 安田翔伍
8,5,9,アローゴールド,牡2,50,永島まな,1:23.1,クビ,153.9,14.0,430(0),[西] 高橋康之
9,4,7,イーストリバー,セ2,54,藤懸貴志,1:23.1,クビ,46.2,11.0,432(0),[西] 高橋義忠
10,5,10,アーテルアストレア,牝2,54,鮫島克駿,1:23.3,1.1/4,56.7,12.0,466(0),[西] 橋口慎介
11,3,5,カフジテトラゴン,牝2,54,古川吉洋,1:23.3,クビ,13.1,4.0,460(0),[西] 武英智
12,2,4,エイシンブラボー,牝2,54,藤岡康太,1:23.4,1/2,26.4,7.0,422(0),[西] 渡辺薫彦
13,7,14,トウカイイグニス,牡2,54,浜中俊,1:24.0,3.1/2,36.5,8.0,448(0),[西] 長谷川浩
14,7,13,ワールドブルックス,牡2,53,泉谷楓真,1:24.1,1/2,123.2,13.0,490(0),[西] 本田優
除,2,3,ワイドスナイパー,牡2,54,幸英明,,,---,,432(0),[西] 西園正都
取,4,8,フェノメーヌ,牝2,54,長岡禎仁,,,---,,計不,[西] 加用正
