着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,6,アメリカンシード,牡4,56,ルメール,1:51.1,,1.2,1,468(-4),[西] 藤岡健一
2,7,8,サンダーブリッツ,牡4,56,大野拓弥,1:51.9,5,13.7,4,504(+4),[東] 久保田貴
3,8,10,グラスブルース,牡7,57,木幡巧也,1:52.0,3/4,29.5,7,524(+8),[東] 牧光二
4,6,7,キタノヴィジョン,牡4,56,三浦皇成,1:52.2,1,12.6,3,502(+10),[東] 萱野浩二
5,8,11,ブライトンロック,牡7,57,柴山雄一,1:53.2,6,24.8,5,470(0),[東] 田中清隆
6,1,1,トランスナショナル,牡5,57,横山武史,1:53.5,2,6.9,2,494(+4),[東] 田村康仁
7,3,3,エターナルヴィテス,牡5,57,田中勝春,1:53.6,クビ,144.2,11,484(+6),[東] 松山将樹
8,2,2,ライジングドラゴン,牡6,57,蛯名正義,1:53.7,3/4,38.5,8,456(+6),[西] 吉田直弘
9,7,9,スマートランウェイ,牝5,55,池添謙一,1:54.1,2.1/2,58.1,9,510(+6),[西] 角居勝彦
10,5,5,テリオスベル,牝4,54,武藤雅,1:54.3,1,27.2,6,434(-2),[東] 田島俊明
11,4,4,サトノグラン,セ7,57,石川裕紀,1:55.0,4,126.7,10,480(+12),[東] 田中剛
