着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,メイショウムラクモ,牡3,56,柴田善臣,1:54.4,,3.4,2,476(-8),[東] 和田勇介
2,6,6,ディールクルム,牡3,56,三浦皇成,1:55.7,8,1.6,1,512(+6),[東] 田村康仁
3,2,2,ホウオウルバン,牡3,56,田辺裕信,1:56.6,5,7.2,3,518(+2),[東] 池上昌和
4,7,8,シンヨモギネス,牡3,56,石橋脩,1:56.7,1/2,14.0,4,474(-2),[東] 伊藤圭三
5,4,4,フィールザワールド,牡3,56,横山武史,1:56.9,1.1/2,18.2,5,462(-4),[東] 岩戸孝樹
6,8,9,フルネーズ,牡3,56,石川裕紀,1:57.9,6,23.2,6,514(+4),[東] 小笠倫弘
7,5,5,コウジクン,セ3,56,木幡巧也,1:57.9,アタマ,85.2,9,502(-2),[東] 牧光二
8,3,3,アオイシチフク,牝3,54,北村宏司,1:58.1,1.1/4,34.4,7,478(+2),[東] 中舘英二
9,1,1,ユイノシワザ,牡3,56,内田博幸,1:58.2,1/2,118.4,10,460(+6),[東] 竹内正洋
10,7,7,ショウナンアストラ,牡3,56,津村明秀,1:58.3,クビ,59.7,8,462(-4),[東] 矢野英一
