着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,トーラスジェミニ,牡5,58,原優介,1:34.4,,8.5,4,480(-6),[東] 小桧山悟
2,5,8,ボンセルヴィーソ,牡7,57,木幡巧也,1:34.4,クビ,9.4,6,484(-4),[西] 池添学
3,6,9,トライン,牡6,56,内田博幸,1:35.1,4,14.1,8,462(-8),[西] 浜田多実
4,3,4,アトミックフォース,牡5,57,戸崎圭太,1:35.1,ハナ,13.1,7,482(-12),[東] 武藤善則
5,6,10,エメラルファイト,牡5,57,丹内祐次,1:35.2,1/2,47.7,11,472(+2),[東] 相沢郁
6,7,12,レッドガラン,牡6,57,横山和生,1:35.5,2,4.0,1,514(-2),[西] 安田隆行
7,4,5,レインボーフラッグ,牡8,56,三浦皇成,1:35.6,クビ,19.9,9,468(0),[西] 小崎憲
8,1,1,サクセッション,牡4,56,横山武史,1:35.7,3/4,4.5,2,520(-8),[東] 国枝栄
9,8,13,ダノンチェイサー,牡5,57,津村明秀,1:35.8,クビ,9.0,5,488(+16),[西] 池江泰寿
10,8,14,クラヴァシュドール,牝4,54,北村宏司,1:36.1,2,5.8,3,454(-2),[西] 中内田充
11,7,11,カルヴァリオ,セ8,56,吉田豊,1:36.4,2,145.2,14,464(+6),[西] 吉岡辰弥
12,4,6,バレリオ,牡6,56,石川裕紀,1:36.6,3/4,65.5,13,498(-10),[東] 相沢郁
13,5,7,フィリアプーラ,牝5,54,石橋脩,1:36.7,3/4,38.6,10,460(0),[東] 菊沢隆徳
14,2,2,ソロフレーズ,牡6,56,江田照男,1:36.7,クビ,65.1,12,492(-2),[東] 栗田徹
