着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,アルナシーム,牡2,54,武豊,1:50.1,,2.7,2,418(0),[西] 橋口慎介
2,1,1,ブラックボイス,牡2,54,ルメール,1:50.4,2,2.2,1,512(0),[東] 宮田敬介
3,7,11,マイネルシーマー,牡2,54,丹内祐次,1:50.5,1/2,21.7,7,466(0),[東] 青木孝文
4,8,13,ウインアウォード,牡2,54,横山和生,1:50.6,1/2,21.4,5,494(0),[西] 杉山晴紀
5,3,4,ショーンヘイティ,牡2,51,横山琉人,1:50.9,1.3/4,277.6,14,484(0),[東] 相沢郁
6,5,8,リチュアル,牡2,54,横山武史,1:50.9,クビ,21.5,6,506(0),[東] 藤沢和雄
7,8,14,ブルーロワイヤル,牡2,54,団野大成,1:51.0,クビ,8.6,3,510(0),[西] 音無秀孝
8,2,2,ブラカー,牡2,51,小沢大仁,1:51.0,クビ,32.4,8,458(0),[東] 加藤征弘
9,6,9,ルージュブラゾン,牝2,54,池添謙一,1:51.2,1.1/4,21.0,4,454(0),[東] 小島茂之
10,4,6,ブルーシグナル,牡2,52,秋山稔樹,1:51.4,1,186.2,12,432(0),[東] 和田雄二
11,6,10,インペリアルライン,牡2,54,菱田裕二,1:52.0,3.1/2,37.2,9,468(0),[東] 中舘英二
12,7,12,アクティブバイオ,牡2,54,坂井瑠星,1:52.9,5,79.3,10,464(0),[西] 今野貞一
13,5,7,ノートルプロメス,牡2,54,藤岡佑介,1:54.0,7,114.7,11,498(0),[西] 四位洋文
14,4,5,タニノタビト,牡2,53,斎藤新,1:54.2,1.1/4,213.7,13,496(0),[西] 村山明
