着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,7,ホウオウサミット,牡3,54,ルメール,1:48.2,,1.7,1,498(-8),[東] 手塚貴久
2,6,9,シティレインボー,牡3,54,国分恭介,1:48.4,1.1/4,4.6,2,474(+8),[西] 池添兼雄
3,3,3,ヴェントボニート,牝4,55,武豊,1:48.5,アタマ,12.2,4,426(+4),[西] 池添学
4,7,11,ヴィクトゥーラ,牡3,54,大野拓弥,1:48.6,3/4,7.3,3,472(-2),[東] 金成貴史
5,7,10,ショウナンラスボス,牡3,54,吉田隼人,1:48.8,1.1/4,22.9,6,470(0),[東] 奥村武
6,4,4,デンセツノマジョ,牝6,55,菊沢一樹,1:48.8,ハナ,45.3,9,466(+4),[東] 菊沢隆徳
7,2,2,アムールマルルー,牝3,52,横山和生,1:48.8,クビ,27.2,7,442(-4),[東] 栗田徹
8,8,13,ランドアーティスト,セ4,57,池添謙一,1:48.9,3/4,13.8,5,480(+10),[東] 木村哲也
9,1,1,チェスナットドレス,牝4,55,小沢大仁,1:49.1,1.1/4,132.2,13,492(-6),[西] 西村真幸
10,4,5,ミリタリータンゴ,牡3,54,泉谷楓真,1:49.3,1.1/4,73.0,10,458(+6),[西] 中竹和也
11,6,8,マイネルエキサイト,牡5,57,丹内祐次,1:49.3,ハナ,44.7,8,498(0),[東] 加藤士津
12,8,12,ポピュリズム,牝4,55,古川吉洋,1:49.3,クビ,118.1,12,498(+2),[西] 昆貢
13,5,6,ヒナノコバン,牡4,57,秋山稔樹,1:49.5,1.1/4,87.9,11,464(+2),[東] 本間忍
