着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ガリレイ,セ4,57,菱田裕二,1:08.8,,3.6,2,496(+8),[西] 高橋亮
2,5,7,ディヴィナシオン,牡4,57,勝浦正樹,1:08.9,クビ,2.6,1,450(-2),[西] 森秀行
3,6,10,シシリエンヌ,牝5,55,菊沢一樹,1:09.2,2,42.7,12,490(0),[西] 牧浦充徳
4,5,8,オメガハートクィン,牝5,55,浜中俊,1:09.3,クビ,6.7,3,448(0),[西] 松永幹夫
5,8,13,エピローグ,牝5,55,西村淳也,1:09.3,アタマ,32.6,11,466(-4),[西] 小崎憲
6,3,3,ミヤジシルフィード,牡5,57,鮫島克駿,1:09.5,1.1/4,62.7,13,482(0),[西] 川村禎彦
7,7,11,クーファイザナミ,牝4,55,藤岡康太,1:09.5,クビ,23.8,8,406(-8),[西] 武幸四郎
8,3,4,ロードラナキラ,牡6,57,吉田隼人,1:09.5,ハナ,20.0,6,464(-8),[西] 高野友和
9,1,1,タマノジュメイラ,牝5,55,藤岡佑介,1:09.5,ハナ,20.4,7,484(-4),[東] 伊藤大士
10,6,9,ピュリフィアン,牝4,55,斎藤新,1:09.6,1/2,28.0,10,404(+4),[西] 松下武士
11,4,6,マイネルホイッスル,牡4,57,富田暁,1:09.7,1/2,18.9,5,476(0),[西] 西園正都
12,7,12,マイネルテナシャス,牡4,57,丹内祐次,1:09.9,1.1/4,10.0,4,480(-4),[東] 萱野浩二
13,8,14,マテラシオン,牝4,55,川須栄彦,1:09.9,アタマ,103.4,14,430(+4),[西] 浜田多実
14,4,5,アッタヴァンティ,牝4,55,菅原明良,1:10.5,3.1/2,27.7,9,448(+6),[東] 中川公成
