着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ミニーアイル,牝3,54,藤岡康太,1:08.6,,2.4,1,488(-2),[西] 武幸四郎
2,4,7,ニシノリース,牝3,54,勝浦正樹,1:08.7,1/2,6.6,3,426(0),[東] 土田稔
3,7,12,ピュアエール,牝3,54,原田和真,1:09.0,1.1/2,215.7,15,456(-4),[東] 松永康利
4,5,8,マウンテンムスメ,牝3,54,菱田裕二,1:09.1,3/4,21.7,9,446(0),[東] 中野栄治
5,4,6,コスモサンレミ,牝3,54,丹内祐次,1:09.2,1/2,16.1,6,448(0),[東] 中野栄治
6,7,13,スイーツマジック,牝3,54,吉田隼人,1:09.2,クビ,7.3,4,468(-6),[東] 佐藤吉勝
7,3,5,ルルルージュ,牝3,54,菊沢一樹,1:09.4,1.1/2,12.7,5,482(+2),[東] 菊沢隆徳
8,8,14,ピュアブリス,牝3,54,高倉稜,1:09.4,ハナ,20.5,8,442(-10),[西] 杉山晴紀
9,8,15,ライクマジック,牝3,54,和田竜二,1:09.4,ハナ,5.3,2,428(+8),[西] 上村洋行
10,3,4,サンマルセレッソ,牝3,54,内田博幸,1:09.7,1.1/2,86.3,12,420(-16),[東] 中野栄治
11,6,11,エイシンウィンク,牝3,54,亀田温心,1:09.8,1/2,101.1,13,416(-13),[地] 坂本和也
12,5,9,フライングバレル,牝3,54,横山和生,1:09.9,1/2,16.3,7,450(0),[西] 安田隆行
13,1,1,ミヤジオシャラク,牝3,54,西村淳也,1:10.0,1/2,54.3,10,482(+2),[西] 川村禎彦
14,6,10,ハイレリーフ,牝3,54,石川裕紀,1:10.0,クビ,72.0,11,442(-2),[東] 菊川正達
15,2,2,セピアノーツ,牝3,54,黛弘人,1:11.2,7,127.9,14,470(+6),[東] 青木孝文
