着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,フォイアーロート,牡3,56,鮫島克駿,1:10.2,,7.0,3,470(-4),[西] 浅見秀一
2,7,13,モンファボリ,牝3,54,吉田隼人,1:10.5,1.3/4,7.2,5,430(-2),[西] 須貝尚介
3,3,5,タマモダイジョッキ,牡3,56,国分優作,1:10.6,1/2,11.8,6,464(-6),[西] 南井克巳
4,8,17,クインズセージ,牝3,54,岡田祥嗣,1:10.7,3/4,18.4,8,506(-2),[東] 小島茂之
5,5,10,ニシノリース,牝3,54,菅原明良,1:10.7,クビ,4.3,1,426(0),[東] 土田稔
6,1,1,ゴットゴーゴー,牝3,54,斎藤新,1:10.8,クビ,23.4,10,448(-2),[西] 木原一良
7,6,12,メイショウイチヒメ,牝3,54,横山和生,1:10.9,1,59.7,13,426(-4),[西] 飯田祐史
8,2,4,アンジュソレイユ,牝3,54,浜中俊,1:11.0,1/2,4.6,2,436(0),[西] 清水久詞
9,5,9,ノボミラクル,牡3,56,菊沢一樹,1:11.1,3/4,55.6,12,472(-6),[東] 天間昭一
10,8,15,ウインミニヨン,牝3,54,菱田裕二,1:11.4,1.1/2,7.1,4,404(-2),[西] 長谷川浩
11,7,14,スイーツマジック,牝3,54,丹内祐次,1:11.4,ハナ,17.9,7,460(-8),[東] 佐藤吉勝
12,8,16,フライングバレル,牝3,54,泉谷楓真,1:11.6,1.1/2,22.3,9,452(+2),[西] 安田隆行
13,2,3,アンジュマリッシュ,牝3,54,荻野極,1:11.7,クビ,82.0,15,426(+6),[西] 上村洋行
14,6,11,ラマルセイエーズ,牝3,54,亀田温心,1:11.7,アタマ,143.1,17,456(0),[西] 森田直行
15,3,6,ミヤジオシャラク,牝3,54,田中健,1:11.9,1.1/4,132.8,16,474(-8),[西] 川村禎彦
16,4,7,ハイレリーフ,牝3,54,黛弘人,1:12.0,1/2,77.6,14,440(-2),[東] 菊川正達
中,4,8,ピュアエール,牝3,54,原田和真,,,31.0,11,460(+4),[東] 松永康利
