着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ヴィアメント,セ4,57,菅原明良,1:52.4,,8.9,5,478(-16),[東] 鹿戸雄一
2,5,8,ゴールドフレーム,セ5,57,勝浦正樹,1:52.5,1/2,13.7,7,476(0),[東] 新開幸一
3,4,6,ショウナンマリオ,牡4,57,吉田隼人,1:52.7,1.1/2,4.7,1,488(-4),[東] 加藤士津
4,6,9,コパノリッチマン,牡4,57,藤井勘一,1:53.0,2,7.3,4,516(0),[西] 村山明
5,8,13,ラブリーエンジェル,牝4,55,菊沢一樹,1:53.0,ハナ,38.0,12,444(+6),[東] 堀井雅広
6,3,3,キクノフェリックス,牡7,57,丹内祐次,1:53.2,1,23.3,9,490(-8),[西] 吉田直弘
7,5,7,コスモセイリュウ,牡4,57,荻野極,1:53.3,クビ,12.1,6,486(0),[東] 中野栄治
8,8,14,ボルサリーノ,牡4,57,亀田温心,1:53.3,クビ,13.8,8,464(-4),[西] 杉山晴紀
9,4,5,エースレイジング,牡4,57,西村淳也,1:53.3,ハナ,4.8,2,454(-2),[西] 小崎憲
10,6,10,グッドヘルスバイオ,牡5,57,斎藤新,1:53.5,1.1/4,27.2,11,484(+8),[西] 池添学
11,7,11,ブリッツシュラーク,牡7,57,泉谷楓真,1:53.7,1,179.0,13,490(+6),[西] 杉山佳明
12,1,1,クリノキングボス,牡4,57,国分優作,1:54.3,3.1/2,24.6,10,468(-4),[西] 南井克巳
13,2,2,ヴェラアズール,牡4,57,鮫島克駿,1:54.4,1,4.9,3,506(+4),[西] 渡辺薫彦
14,7,12,ミルメルシー,牝5,55,川又賢治,1:55.4,6,193.7,14,464(-4),[西] 安達昭夫
