着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,レイオブウォーター,牡3,54,福永祐一,2:24.4,,2.5,1,494(+2),[西] 友道康夫
2,3,6,リンフレスカンテ,牡3,54,松山弘平,2:24.6,1.1/4,6.8,4,434(+4),[西] 宮本博
3,4,8,シエラネバダ,セ6,57,松若風馬,2:24.9,1.3/4,100.0,14,494(-6),[西] 音無秀孝
4,8,17,ロニセラ,牝4,55,戸崎圭太,2:25.1,1.1/4,44.6,8,454(0),[西] 高野友和
5,5,10,ダンディズム,セ5,57,藤岡康太,2:25.2,1/2,6.5,3,466(0),[西] 野中賢二
6,7,14,スカイテラス,牡4,57,木幡巧也,2:25.4,1.1/4,58.2,9,484(+6),[東] 和田正一
7,6,12,ハギノエスペラント,牡4,57,岩田望来,2:25.4,クビ,7.7,5,502(0),[西] 四位洋文
8,4,7,エクスインパクト,牡3,54,川田将雅,2:25.4,ハナ,4.1,2,476(-4),[東] 尾関知人
9,6,11,ジューンバラード,牝5,55,津村明秀,2:25.7,1.3/4,72.1,12,432(+2),[東] 鈴木慎太
10,1,1,ケイティミラクル,牡4,57,江田照男,2:25.7,クビ,114.7,15,492(+2),[東] 小野次郎
11,1,2,クールファイブ,牡3,54,鮫島克駿,2:25.9,1,23.7,6,482(0),[西] 友道康夫
12,8,15,オメガデラックス,セ4,57,浜中俊,2:26.0,1/2,37.4,7,436(+2),[西] 安田翔伍
13,7,13,ヤンヤノカッサイ,牡4,57,内田博幸,2:26.0,ハナ,169.8,16,508(-3),[西] 森秀行
14,8,16,シトラスクーラー,セ8,57,菅原明良,2:26.1,3/4,99.3,13,454(-8),[東] 高木登
15,5,9,グレルグリーン,牡5,57,石川裕紀,2:26.5,2.1/2,70.9,11,460(0),[東] 相沢郁
16,2,4,バルンストック,セ4,57,柴田善臣,2:26.7,1.1/4,233.3,17,476(+16),[東] 天間昭一
17,2,3,タニマサベーカ,牡6,57,永野猛蔵,2:29.8,大,60.2,10,450(-4),[東] 辻哲英
